alpha,alpha1,seed,method,selected_M,selected_M_by_tune,selection_status,selection_metric,selection_protocol,tune_video_count,tune_internal_cal_videos,tune_internal_val_videos,tune_released,tune_margin,tune_tau,tune_max_e,gamma,p_min_effective,emax_effective,n_covered,n_rank_denominator
0.05,0.05,0,unmatched_as_false_block,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,4.272001872658766,0.5,0.0136986301369863,4.272001872658766,72.0,72.0
0.05,0.05,0,null_superset_no_audit,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,6.2592828516116175,0.23307527170850925,0.0136986301369863,6.2592828516116175,72.0,72.0
0.05,0.05,0,parc_track_gamma_tuned_uniform_scs,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,6.061336876907764,0.23537745555238682,0.014285714285714285,6.061336876907764,69.0,69.0
0.05,0.05,0,confidence_threshold,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,0,tracklet_p_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,0,tracklet_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,0,post_filter_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,0,greedy_score_no_risk,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,1,unmatched_as_false_block,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,4.06201920231798,0.5,0.015151515151515152,4.06201920231798,65.0,65.0
0.05,0.05,1,null_superset_no_audit,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,5.795237224146918,0.23868315209103041,0.015151515151515152,5.795237224146918,65.0,65.0
0.05,0.05,1,parc_track_gamma_tuned_uniform_scs,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,5.661203684512458,0.24044917348149392,0.015625,5.661203684512458,63.0,63.0
0.05,0.05,1,confidence_threshold,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,1,tracklet_p_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,1,tracklet_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,1,post_filter_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,1,greedy_score_no_risk,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,2,unmatched_as_false_block,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,4.153311931459037,0.5,0.014492753623188406,4.153311931459037,68.0,68.0
0.05,0.05,2,null_superset_no_audit,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,5.995050292964696,0.23617733727628992,0.014492753623188406,5.995050292964696,68.0,68.0
0.05,0.05,2,parc_track_gamma_tuned_uniform_scs,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,5.995050292964696,0.23617733727628992,0.014492753623188406,5.995050292964696,68.0,68.0
0.05,0.05,2,confidence_threshold,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,2,tracklet_p_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,2,tracklet_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,2,post_filter_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,2,greedy_score_no_risk,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,0,unmatched_as_false_block,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,4.272001872658766,0.5,0.0136986301369863,4.272001872658766,72.0,72.0
0.1,0.1,0,null_superset_no_audit,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,6.2592828516116175,0.23307527170850925,0.0136986301369863,6.2592828516116175,72.0,72.0
0.1,0.1,0,parc_track_gamma_tuned_uniform_scs,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,6.061336876907764,0.23537745555238682,0.014285714285714285,6.061336876907764,69.0,69.0
0.1,0.1,0,confidence_threshold,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,0,tracklet_p_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,0,tracklet_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,0,post_filter_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,0,greedy_score_no_risk,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,1,unmatched_as_false_block,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,4.06201920231798,0.5,0.015151515151515152,4.06201920231798,65.0,65.0
0.1,0.1,1,null_superset_no_audit,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,5.795237224146918,0.23868315209103041,0.015151515151515152,5.795237224146918,65.0,65.0
0.1,0.1,1,parc_track_gamma_tuned_uniform_scs,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,5.661203684512458,0.24044917348149392,0.015625,5.661203684512458,63.0,63.0
0.1,0.1,1,confidence_threshold,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,1,tracklet_p_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,1,tracklet_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,1,post_filter_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,1,greedy_score_no_risk,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,2,unmatched_as_false_block,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,4.153311931459037,0.5,0.014492753623188406,4.153311931459037,68.0,68.0
0.1,0.1,2,null_superset_no_audit,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,5.995050292964696,0.23617733727628992,0.014492753623188406,5.995050292964696,68.0,68.0
0.1,0.1,2,parc_track_gamma_tuned_uniform_scs,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,5.995050292964696,0.23617733727628992,0.014492753623188406,5.995050292964696,68.0,68.0
0.1,0.1,2,confidence_threshold,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,2,tracklet_p_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,2,tracklet_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,2,post_filter_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,2,greedy_score_no_risk,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.2,0.2,0,unmatched_as_false_block,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,4.272001872658766,0.5,0.0136986301369863,4.272001872658766,72.0,72.0
0.2,0.2,0,null_superset_no_audit,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,6.2592828516116175,0.23307527170850925,0.0136986301369863,6.2592828516116175,72.0,72.0
0.2,0.2,0,parc_track_gamma_tuned_uniform_scs,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,6.061336876907764,0.23537745555238682,0.014285714285714285,6.061336876907764,69.0,69.0
0.2,0.2,0,confidence_threshold,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.2,0.2,0,tracklet_p_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.2,0.2,0,tracklet_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.2,0.2,0,post_filter_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.2,0.2,0,greedy_score_no_risk,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.2,0.2,1,unmatched_as_false_block,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,4.06201920231798,0.5,0.015151515151515152,4.06201920231798,65.0,65.0
0.2,0.2,1,null_superset_no_audit,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,5.795237224146918,0.23868315209103041,0.015151515151515152,5.795237224146918,65.0,65.0
0.2,0.2,1,parc_track_gamma_tuned_uniform_scs,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,196.0,98.0,98.0,0,-inf,inf,5.661203684512458,0.24044917348149392,0.015625,5.661203684512458,63.0,63.0
0.2,0.2,1,confidence_threshold,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.2,0.2,1,tracklet_p_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.2,0.2,1,tracklet_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.2,0.2,1,post_filter_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.2,0.2,1,greedy_score_no_risk,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
