K,score_a,score_b,intersection_n,overlap_fraction_of_K,jaccard,source_artifact,source_sha256
75,chgnet_score,mace_score,70,0.9333333333333332,0.875,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
75,chgnet_score,consensus_score,70,0.9333333333333332,0.875,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
75,chgnet_score,alignnff_score,18,0.24,0.1363636363636363,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
75,mace_score,consensus_score,74,0.9866666666666668,0.9736842105263158,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
75,mace_score,alignnff_score,19,0.2533333333333333,0.1450381679389313,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
75,consensus_score,alignnff_score,19,0.2533333333333333,0.1450381679389313,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
100,chgnet_score,mace_score,95,0.95,0.9047619047619048,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
100,chgnet_score,consensus_score,95,0.95,0.9047619047619048,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
100,chgnet_score,alignnff_score,24,0.24,0.1363636363636363,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
100,mace_score,consensus_score,99,0.99,0.9801980198019802,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
100,mace_score,alignnff_score,23,0.23,0.1299435028248587,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
100,consensus_score,alignnff_score,24,0.24,0.1363636363636363,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
300,chgnet_score,mace_score,279,0.93,0.8691588785046729,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
300,chgnet_score,consensus_score,281,0.9366666666666666,0.8808777429467085,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
300,chgnet_score,alignnff_score,96,0.32,0.1904761904761904,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
300,mace_score,consensus_score,296,0.9866666666666668,0.9736842105263158,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
300,mace_score,alignnff_score,92,0.3066666666666666,0.1811023622047244,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
300,consensus_score,alignnff_score,93,0.31,0.1834319526627219,outputs/milestones/mattergen_alignnff_preoutcome_scoring_snapshot/table_alignnff_topk_overlap.csv,c4f28af507ddb275fc40b54e52e1706e764bbf16da3e76340f13428d05fbce43
