local_milestone,coverage_status,cloud_or_ledger_location
ijcv_burst_cv60_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/ijcv_burst_cv60_v1
ijcv_burst_owlv2_stress_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/ijcv_burst_owlv2_stress_v1
ijcv_burst_v1,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ijcv_burst_v2,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/ijcv_burst_v2
ijcv_cross_dataset_v1,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ijcv_cross_dataset_v2,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ijcv_cross_dataset_v3,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ijcv_cross_dataset_v4,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ijcv_cross_dataset_v5,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ijcv_cross_dataset_v6,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/ijcv_cross_dataset_v6
ijcv_cross_generator_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/ijcv_cross_generator_v1
ijcv_extra_cpu_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/ijcv_extra_cpu_v1
ijcv_full_ovtb_v1,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ijcv_ovtrack_adapter_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/ijcv_ovtrack_adapter_v1
ijcv_phase4_sprint_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/ijcv_phase4_sprint_v1
ijcv_stability_v1,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ijcv_stability_v2,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/ijcv_stability_v2
ijcv_tao_full_v1,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ijcv_tao_full_v2_clean,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/ijcv_tao_full_v2_clean
lvvis_certification_v1,tracked_as_primary_milestone,outputs/milestones/lvvis_certification_v1
lvvis_mask_certification_v1,tracked_as_primary_milestone,outputs/milestones/lvvis_mask_certification_v1
nmi_generality_reliability_v1,tracked_as_primary_milestone,outputs/milestones/nmi_generality_reliability_v1
ovis_certification_v1,tracked_as_primary_milestone,outputs/milestones/ovis_certification_v1
owlv2_diagnostic_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/owlv2_diagnostic_v1
parc_certification_benchmark_v1,tracked_under_outputs_benchmarks,outputs/benchmarks/parc_certification_benchmark_v1
phase2h_first_real_nonempty,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty
phase4_prop5_three_generator_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/phase4_prop5_three_generator_v1
phase4_third_generator_and_owlv2_audit_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/phase4_third_generator_and_owlv2_audit_v1
phase4_third_generator_matrix_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/phase4_third_generator_matrix_v1
tpami_core_v1,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
tpami_core_v2,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/tpami_core_v2
tpami_reliability_fortress_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/tpami_reliability_fortress_v1
tpami_reliability_fortress_v2,tracked_as_primary_milestone,outputs/milestones/tpami_reliability_fortress_v2
trackeval_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/trackeval_v1
