domain,target_row,audit_policy,audit_budget_fraction,release_rate,safe_release_rate,mean_release,actual_FTR_mean,alpha,cost_per_true_release_mean,first_safe_release_budget_fraction
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,block_balanced_top_score,0.0,0.0,0.0,0.0,0.0,0.1,inf,0.01
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,block_balanced_top_score,0.005,0.0,0.0,0.0,0.0,0.1,inf,0.01
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,block_balanced_top_score,0.01,0.95,0.95,90.95,0.0,0.1,7.949422759758108,0.01
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,block_balanced_top_score,0.02,1.0,1.0,100.0,0.0,0.1,14.4595,0.01
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,block_balanced_top_score,0.05,1.0,1.0,100.0,0.0,0.1,36.149499999999996,0.01
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,block_balanced_top_score,0.1,1.0,1.0,100.0,0.0,0.1,72.2995,0.01
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,block_balanced_top_score,0.2,1.0,1.0,100.0,0.0,0.1,144.599,0.01
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,diversity_round_robin,0.0,0.0,0.0,0.0,0.0,0.1,inf,0.01
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,diversity_round_robin,0.005,0.0,0.0,0.0,0.0,0.1,inf,0.01
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,diversity_round_robin,0.01,0.95,0.95,90.95,0.0,0.1,7.949422759758108,0.01
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,diversity_round_robin,0.02,1.0,1.0,100.0,0.0,0.1,14.4595,0.01
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,diversity_round_robin,0.05,1.0,1.0,100.0,0.0,0.1,36.149499999999996,0.01
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,diversity_round_robin,0.1,1.0,1.0,100.0,0.0,0.1,72.2995,0.01
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,diversity_round_robin,0.2,1.0,1.0,100.0,0.0,0.1,144.599,0.01
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.0,0.0,0.0,0.0,0.0,0.1,inf,
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.005,0.0,0.0,0.0,0.0,0.1,inf,
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.01,0.0,0.0,0.0,0.0,0.1,inf,
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.02,0.0,0.0,0.0,0.0,0.1,inf,
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.05,0.0,0.0,0.0,0.0,0.1,inf,
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.1,0.0,0.0,0.0,0.0,0.1,inf,
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.2,0.0,0.0,0.0,0.0,0.1,inf,
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.0,0.0,0.0,0.0,0.0,0.1,inf,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.005,1.0,1.0,100.0,0.0,0.1,3.616,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.01,1.0,1.0,100.0,0.0,0.1,7.23,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.02,1.0,1.0,100.0,0.0,0.1,14.4595,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.05,1.0,1.0,100.0,0.0,0.1,36.149499999999996,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.1,1.0,1.0,100.0,0.0,0.1,72.2995,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.2,1.0,1.0,100.0,0.0,0.1,144.599,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,block_balanced_top_score,0.0,0.0,0.0,0.0,0.0,0.1,inf,0.02
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,block_balanced_top_score,0.005,0.0,0.0,0.0,0.0,0.1,inf,0.02
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,block_balanced_top_score,0.01,0.0,0.0,0.0,0.0,0.1,inf,0.02
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,block_balanced_top_score,0.02,0.15,0.15,36.3,0.0,0.1,39.833333333333336,0.02
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,block_balanced_top_score,0.05,0.85,0.85,233.2,0.0,0.1,15.501500857632934,0.02
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,block_balanced_top_score,0.1,1.0,1.0,300.0,0.0,0.1,24.099833333333333,0.02
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,block_balanced_top_score,0.2,1.0,1.0,300.0,0.0,0.1,48.199666666666666,0.02
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,diversity_round_robin,0.0,0.0,0.0,0.0,0.0,0.1,inf,0.02
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,diversity_round_robin,0.005,0.0,0.0,0.0,0.0,0.1,inf,0.02
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,diversity_round_robin,0.01,0.0,0.0,0.0,0.0,0.1,inf,0.02
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,diversity_round_robin,0.02,0.15,0.15,36.3,0.0,0.1,39.833333333333336,0.02
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,diversity_round_robin,0.05,0.85,0.85,233.2,0.0,0.1,15.501500857632934,0.02
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,diversity_round_robin,0.1,1.0,1.0,300.0,0.0,0.1,24.099833333333333,0.02
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,diversity_round_robin,0.2,1.0,1.0,300.0,0.0,0.1,48.199666666666666,0.02
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.0,0.0,0.0,0.0,0.0,0.1,inf,
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.005,0.0,0.0,0.0,0.0,0.1,inf,
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.01,0.0,0.0,0.0,0.0,0.1,inf,
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.02,0.0,0.0,0.0,0.0,0.1,inf,
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.05,0.0,0.0,0.0,0.0,0.1,inf,
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.1,0.0,0.0,0.0,0.0,0.1,inf,
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,random,0.2,0.0,0.0,0.0,0.0,0.1,inf,
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,top_score,0.0,0.0,0.0,0.0,0.0,0.1,inf,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K300,top_score,0.005,0.95,0.95,275.5,0.0,0.1,1.3125226860254084,0.005
