video_id,aoi,n_calibration_audited,n_verified_positive,n_false_link,n_uncertain,score_min,score_max,n_k50_release_audit_candidates,n_raw_topk_audit_candidates,has_verified_positive,has_k50_release_candidate,has_raw_topk_candidate,coverage_status
1,L15-0331E-1257N_1327_3160_13,6,6,0,0,0.999493378978447,0.999947683402018,0.0,1.0,True,False,True,verified_only
2,L15-0331E-1257N_1327_3160_13,6,6,0,0,0.9992001553265284,0.9999829076878818,1.0,0.0,True,True,False,covered_release_block
3,L15-0331E-1257N_1327_3160_13,6,6,0,0,0.9996102380088068,0.9999322386764052,0.0,0.0,True,False,False,verified_only
4,L15-0331E-1257N_1327_3160_13,6,6,0,0,0.9997226658743956,0.9999624261344944,0.0,2.0,True,False,True,verified_only
5,L15-0331E-1257N_1327_3160_13,6,6,0,0,0.9991819036424308,0.9997182064156078,0.0,0.0,True,False,False,verified_only
6,L15-0331E-1257N_1327_3160_13,6,6,0,0,0.9996039808938502,0.9998866207053057,0.0,0.0,True,False,False,verified_only
7,L15-0331E-1257N_1327_3160_13,6,6,0,0,0.9997015106956504,0.9997969856856028,0.0,0.0,True,False,False,verified_only
8,L15-0331E-1257N_1327_3160_13,6,6,0,0,0.9997713400431566,0.9999462301242218,0.0,1.0,True,False,True,verified_only
9,L15-0357E-1223N_1429_3296_13,6,6,0,0,0.9998369805261828,0.9999985555750716,1.0,1.0,True,True,True,covered_release_block
10,L15-0357E-1223N_1429_3296_13,6,6,0,0,0.9998366002725292,0.9999785026078452,1.0,2.0,True,True,True,covered_release_block
11,L15-0357E-1223N_1429_3296_13,6,6,0,0,0.9998012440484572,0.9999869053348088,1.0,0.0,True,True,False,covered_release_block
12,L15-0357E-1223N_1429_3296_13,6,6,0,0,0.9998918250287474,0.9999900866387028,1.0,2.0,True,True,True,covered_release_block
13,L15-0357E-1223N_1429_3296_13,6,6,0,0,0.999839212803289,0.9999803360588398,1.0,1.0,True,True,True,covered_release_block
14,L15-0357E-1223N_1429_3296_13,6,6,0,0,0.999871645269504,0.9999779002186828,2.0,0.0,True,True,False,covered_release_block
15,L15-0357E-1223N_1429_3296_13,6,6,0,0,0.9998836553409772,0.9999977868170375,1.0,1.0,True,True,True,covered_release_block
16,L15-0357E-1223N_1429_3296_13,6,6,0,0,0.999850225172348,0.9999825484682932,1.0,1.0,True,True,True,covered_release_block
17,L15-0358E-1220N_1433_3310_13,6,6,0,0,0.9998743339308662,0.9999883558677816,2.0,1.0,True,True,True,covered_release_block
18,L15-0358E-1220N_1433_3310_13,6,6,0,0,0.9998220046678294,0.9999931799995656,1.0,0.0,True,True,False,covered_release_block
19,L15-0358E-1220N_1433_3310_13,6,6,0,0,0.9998293637098694,0.9999964221883256,3.0,1.0,True,True,True,covered_release_block
20,L15-0358E-1220N_1433_3310_13,6,6,0,0,0.9998900266863212,0.9999991271918288,1.0,2.0,True,True,True,covered_release_block
21,L15-0358E-1220N_1433_3310_13,6,6,0,0,0.9998515464575312,0.9999854060603852,1.0,1.0,True,True,True,covered_release_block
22,L15-0358E-1220N_1433_3310_13,6,6,0,0,0.9999015056928968,0.9999909363071936,1.0,1.0,True,True,True,covered_release_block
23,L15-0358E-1220N_1433_3310_13,6,6,0,0,0.9998609752627092,0.999985377163214,1.0,3.0,True,True,True,covered_release_block
24,L15-0358E-1220N_1433_3310_13,6,6,0,0,0.9997594997488868,0.9999415585529012,0.0,0.0,True,False,False,verified_only
25,L15-0361E-1300N_1446_2989_13,6,6,0,0,0.9997873995451676,0.9999993900078272,1.0,1.0,True,True,True,covered_release_block
26,L15-0361E-1300N_1446_2989_13,6,6,0,0,0.9997903510013758,0.9999944196561564,1.0,1.0,True,True,True,covered_release_block
27,L15-0361E-1300N_1446_2989_13,6,6,0,0,0.9999348252737176,0.99998859825981,1.0,3.0,True,True,True,covered_release_block
