policy,certified_risk_level_alpha,candidate_budget_M,released_mean,nonempty_seeds,seeds,actual_FTR_mean,actual_FTR_max,safe_refusal_reason
PARC certified release,0.1,100,0.0,0,20,0.0,0.0,resolution_below_required_emax
PARC certified release,0.1,300,0.0,0,20,0.0,0.0,resolution_below_required_emax
PARC certified release,0.1,500,0.0,0,20,0.0,0.0,resolution_below_required_emax
PARC certified release,0.1,2000,0.0,0,20,0.0,0.0,resolution_below_required_emax
PARC certified release,0.1,5000,0.0,0,20,0.0,0.0,resolution_below_required_emax
PARC certified release,0.2,100,100.0,20,20,0.0,0.0,
PARC certified release,0.2,300,300.0,20,20,0.0001666666666666,0.0033333333333333,
PARC certified release,0.2,500,415.85,18,20,0.0011032165155525,0.0073170731707317,
PARC certified release,0.2,2000,0.0,0,20,0.0,0.0,insufficient_high_e_mass_for_uniform_scs
PARC certified release,0.2,5000,0.0,0,20,0.0,0.0,insufficient_high_e_mass_for_uniform_scs
raw top-M no risk,0.1,100,100.0,20,20,0.0,0.0,not applicable
raw top-M no risk,0.1,300,300.0,20,20,0.0,0.0,not applicable
raw top-M no risk,0.1,500,500.0,20,20,0.0,0.0,not applicable
raw top-M no risk,0.1,2000,2000.0,20,20,0.009,0.009,not applicable
raw top-M no risk,0.1,5000,5000.0,20,20,0.3606,0.3606,not applicable
raw top-M no risk,0.2,100,100.0,20,20,0.0,0.0,not applicable
raw top-M no risk,0.2,300,300.0,20,20,0.0,0.0,not applicable
raw top-M no risk,0.2,500,500.0,20,20,0.0,0.0,not applicable
raw top-M no risk,0.2,2000,2000.0,20,20,0.009,0.009,not applicable
raw top-M no risk,0.2,5000,5000.0,20,20,0.3606,0.3606,not applicable
