rho,alpha,seed,M,released,actual_FTR,partial_UTR_seen_by_PARC,raw_topM_actual_FTR,raw_topM_partial_unsupported_rate,n_cal_blocks,n_nonempty_null_cal_blocks,p_min_effective,gamma,emax_effective,required_emax,max_observed_e,best_mass_ratio,tau_k,self_consistency_margin,empty_reason
0.05,0.1,0,100,0,0.0,0.0,0.0,0.94,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,10.0,3.89735835689296,0.03904906642145111,,,resolution_below_required_emax
0.05,0.1,0,300,0,0.0,0.0,0.0,0.9566666666666667,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,10.0,3.89735835689296,0.029044204159888468,,,resolution_below_required_emax
0.05,0.1,0,500,0,0.0,0.0,0.002,0.95,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,10.0,3.89735835689296,0.02602684542773738,,,resolution_below_required_emax
0.05,0.2,0,100,0,0.0,0.0,0.0,0.94,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,5.0,3.89735835689296,0.07809813284290222,,,observed_e_below_required_emax
0.05,0.2,0,300,0,0.0,0.0,0.0,0.9566666666666667,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,5.0,3.89735835689296,0.058088408319776935,,,observed_e_below_required_emax
0.05,0.2,0,500,0,0.0,0.0,0.002,0.95,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,5.0,3.89735835689296,0.05205369085547476,,,observed_e_below_required_emax
0.05,0.1,1,100,0,0.0,0.0,0.0,0.97,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,10.0,3.89735835689296,0.033077402794613,,,resolution_below_required_emax
0.05,0.1,1,300,0,0.0,0.0,0.0,0.9466666666666667,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,10.0,3.89735835689296,0.02569144608723695,,,resolution_below_required_emax
0.05,0.1,1,500,0,0.0,0.0,0.006,0.944,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,10.0,3.89735835689296,0.02458363719574539,,,resolution_below_required_emax
0.05,0.2,1,100,0,0.0,0.0,0.0,0.97,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,5.0,3.89735835689296,0.066154805589226,,,observed_e_below_required_emax
0.05,0.2,1,300,0,0.0,0.0,0.0,0.9466666666666667,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,5.0,3.89735835689296,0.0513828921744739,,,observed_e_below_required_emax
0.05,0.2,1,500,0,0.0,0.0,0.006,0.944,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,5.0,3.89735835689296,0.04916727439149078,,,observed_e_below_required_emax
0.05,0.1,2,100,0,0.0,0.0,0.0,0.93,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,10.0,6.651292527987276,0.038654631407093014,,,resolution_below_required_emax
0.05,0.1,2,300,0,0.0,0.0,0.0,0.94,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,10.0,6.651292527987276,0.02724996442435557,,,resolution_below_required_emax
0.05,0.1,2,500,0,0.0,0.0,0.0,0.936,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,10.0,6.651292527987276,0.02540384164664619,,,resolution_below_required_emax
0.05,0.2,2,100,0,0.0,0.0,0.0,0.93,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,5.0,6.651292527987276,0.07730926281418603,,,insufficient_high_e_mass_for_uniform_scs
0.05,0.2,2,300,0,0.0,0.0,0.0,0.94,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,5.0,6.651292527987276,0.05449992884871114,,,insufficient_high_e_mass_for_uniform_scs
0.05,0.2,2,500,0,0.0,0.0,0.0,0.936,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,5.0,6.651292527987276,0.05080768329329238,,,insufficient_high_e_mass_for_uniform_scs
0.05,0.1,3,100,0,0.0,0.0,0.0,0.97,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,10.0,3.89735835689296,0.04486648499067444,,,resolution_below_required_emax
0.05,0.1,3,300,0,0.0,0.0,0.0,0.96,78,78,0.012658227848101266,0.22886186853915486,6.651292527987276,10.0,3.89735835689296,0.027750137869202288,,,resolution_below_required_emax
