dataset,generator,policy,certified_risk_level_alpha,seed,candidate_budget_M,released,actual_FTR_against_full_GT,conservative_label_uncertainty_FTR,official_supported,unsupported,biological_large_displacement_proxy_rate,has_alpha_control
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,0,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,1,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,2,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,3,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,4,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,5,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,6,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,7,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,8,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,9,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,10,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,11,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,12,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,13,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,14,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,15,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,16,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,17,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,18,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.1,19,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.2,0,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.2,1,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.2,2,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.2,3,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.2,4,100,100,0.0,0.0,100,0,0.0,False
CTC,ST-segmentation-linker,raw_topM_no_risk,0.2,5,100,100,0.0,0.0,100,0,0.0,False
