observed_positive_strategy,rho,alpha,M,seeds,nonempty_seeds,released_mean,actual_FTR_mean,actual_FTR_max,partial_UTR_mean,raw_topM_actual_FTR,dominant_empty_reason
random,0.05,0.2,100,20,0,0.0,0.0,0.0,0.0,0.0,insufficient_high_e_mass_for_uniform_scs
random,0.05,0.2,300,20,0,0.0,0.0,0.0,0.0,0.000166666666666665,insufficient_high_e_mass_for_uniform_scs
random,0.05,0.2,500,20,0,0.0,0.0,0.0,0.0,0.0055000000000000005,insufficient_high_e_mass_for_uniform_scs
random,0.1,0.2,100,20,0,0.0,0.0,0.0,0.0,0.0,insufficient_high_e_mass_for_uniform_scs
random,0.1,0.2,300,20,0,0.0,0.0,0.0,0.0,0.000166666666666665,insufficient_high_e_mass_for_uniform_scs
random,0.1,0.2,500,20,0,0.0,0.0,0.0,0.0,0.0055000000000000005,insufficient_high_e_mass_for_uniform_scs
random,0.25,0.2,100,20,0,0.0,0.0,0.0,0.0,0.0,insufficient_high_e_mass_for_uniform_scs
random,0.25,0.2,300,20,0,0.0,0.0,0.0,0.0,0.000166666666666665,insufficient_high_e_mass_for_uniform_scs
random,0.25,0.2,500,20,0,0.0,0.0,0.0,0.0,0.0055000000000000005,insufficient_high_e_mass_for_uniform_scs
random,0.5,0.2,100,20,0,0.0,0.0,0.0,0.0,0.0,insufficient_high_e_mass_for_uniform_scs
random,0.5,0.2,300,20,0,0.0,0.0,0.0,0.0,0.000166666666666665,insufficient_high_e_mass_for_uniform_scs
random,0.5,0.2,500,20,0,0.0,0.0,0.0,0.0,0.0055000000000000005,insufficient_high_e_mass_for_uniform_scs
random,1.0,0.2,100,20,20,100.0,0.0,0.0,0.0,0.0,
random,1.0,0.2,300,20,20,300.0,0.000166666666666665,0.0033333333333333,0.000166666666666665,0.000166666666666665,
random,1.0,0.2,500,20,18,415.85,0.00110321651555253,0.0073170731707317,0.00110321651555253,0.0055000000000000005,insufficient_high_e_mass_for_uniform_scs
top_score,0.05,0.2,100,20,20,100.0,0.0,0.0,0.0,0.0,
top_score,0.05,0.2,300,20,20,300.0,0.000166666666666665,0.0033333333333333,0.000166666666666665,0.000166666666666665,
top_score,0.05,0.2,500,20,18,415.85,0.00110321651555253,0.0073170731707317,0.00110321651555253,0.0055000000000000005,insufficient_high_e_mass_for_uniform_scs
top_score,0.1,0.2,100,20,20,100.0,0.0,0.0,0.0,0.0,
top_score,0.1,0.2,300,20,20,300.0,0.000166666666666665,0.0033333333333333,0.000166666666666665,0.000166666666666665,
top_score,0.1,0.2,500,20,18,415.85,0.00110321651555253,0.0073170731707317,0.00110321651555253,0.0055000000000000005,insufficient_high_e_mass_for_uniform_scs
top_score,0.25,0.2,100,20,20,100.0,0.0,0.0,0.0,0.0,
top_score,0.25,0.2,300,20,20,300.0,0.000166666666666665,0.0033333333333333,0.000166666666666665,0.000166666666666665,
top_score,0.25,0.2,500,20,18,415.85,0.00110321651555253,0.0073170731707317,0.00110321651555253,0.0055000000000000005,insufficient_high_e_mass_for_uniform_scs
top_score,0.5,0.2,100,20,20,100.0,0.0,0.0,0.0,0.0,
top_score,0.5,0.2,300,20,20,300.0,0.000166666666666665,0.0033333333333333,0.000166666666666665,0.000166666666666665,
top_score,0.5,0.2,500,20,18,415.85,0.00110321651555253,0.0073170731707317,0.00110321651555253,0.0055000000000000005,insufficient_high_e_mass_for_uniform_scs
top_score,1.0,0.2,100,20,20,100.0,0.0,0.0,0.0,0.0,
top_score,1.0,0.2,300,20,20,300.0,0.000166666666666665,0.0033333333333333,0.000166666666666665,0.000166666666666665,
top_score,1.0,0.2,500,20,18,415.85,0.00110321651555253,0.0073170731707317,0.00110321651555253,0.0055000000000000005,insufficient_high_e_mass_for_uniform_scs
