dataset,generator,alpha1,seed,candidate_budget_M,best_mass_ratio,predicted_nonempty,observed_nonempty,released,prediction_correct,empty_reason
BURST,GroundingDINO,0.1,0,150,1.6279686673249272,True,True,150,True,
BURST,GroundingDINO,0.1,1,150,1.389834456929123,True,True,150,True,
BURST,GroundingDINO,0.1,2,150,0.7922557480050123,False,False,0,True,
BURST,GroundingDINO,0.2,0,150,3.2559373346498544,True,True,150,True,
BURST,GroundingDINO,0.2,1,150,2.779668913858246,True,True,150,True,
BURST,GroundingDINO,0.2,2,150,1.5845114960100246,True,True,150,True,
BURST,OWLv2,0.1,0,150,0.0831533391600178,False,False,0,True,no_k_satisfies_uniform_self_consistency
BURST,OWLv2,0.1,1,150,0.0773175363100917,False,False,0,True,no_k_satisfies_uniform_self_consistency
BURST,OWLv2,0.1,2,150,0.0606432309997576,False,False,0,True,no_k_satisfies_uniform_self_consistency
BURST,OWLv2,0.2,0,150,0.1663066783200356,False,False,0,True,no_k_satisfies_uniform_self_consistency
BURST,OWLv2,0.2,1,150,0.1546350726201834,False,False,0,True,no_k_satisfies_uniform_self_consistency
BURST,OWLv2,0.2,2,150,0.1212864619995153,False,False,0,True,no_k_satisfies_uniform_self_consistency
