dataset,scenario,alpha1,seed,method,M,released,UTR,audited_FTR,conservative_FTR,unsupported_true,unsupported_false,unsupported_uncertain,unsupported_unlabeled,mass_ratio,emax,empty_reason,self_consistency_margin,result_status,verified_positive_removal_ratio,label_interpretation
OVT-B,verified_positive_removal_ratio,0.1,0,parc_track_gamma_tuned_uniform_scs,150,105.0,0.019047619047619,0.0,0.0095238095238095,1.0,0.0,0.0,1.0,1.0719256007826765,38.8326128927103,,1.0275085826096646,actual_rerun,0.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,1.49845229359243,37.97314507911579,,4.9845229359243,actual_rerun,0.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,2.1171773118812043,38.068782942910914,,11.171773118812036,actual_rerun,0.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,0,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0133333333333333,0.0,0.0066666666666666,1.0,0.0,0.0,1.0,1.9869495731223021,38.8326128927103,,4.934747865611511,actual_rerun,0.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,2.99690458718486,37.97314507911579,,9.9845229359243,actual_rerun,0.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,4.234354623762409,38.068782942910914,,16.171773118812037,actual_rerun,0.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,0,parc_track_gamma_tuned_uniform_scs,150,105.0,0.019047619047619,0.0,0.0095238095238095,1.0,0.0,0.0,1.0,1.0719256007826765,38.8326128927103,,1.0275085826096646,actual_rerun,0.25,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,1.4966225726154694,37.92531273292138,,4.966225726154695,actual_rerun,0.25,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,2.1145694440670924,38.02096847695493,,11.145694440670924,actual_rerun,0.25,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,0,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0133333333333333,0.0,0.0066666666666666,1.0,0.0,0.0,1.0,1.9869495731223021,38.8326128927103,,4.934747865611511,actual_rerun,0.25,uncertain_as_unknown
