dataset,video_id,path_id,label,reason,auditor,confidence,review_status,verified_positive_for_calibration,label_status,label_source
OVT-B,106,ovtb_v106_p003013,,,,,,no,requires_label,
OVT-B,79,ovtb_v79_p002836,,,,,,no,requires_label,
OVT-B,259,ovtb_v259_p003991,,,,,,no,requires_label,
OVT-B,109,ovtb_v109_p003042,,,,,,no,requires_label,
OVT-B,40,ovtb_v40_p002429,,,,,,no,requires_label,
OVT-B,40,ovtb_v40_p002407,,,,,,no,requires_label,
OVT-B,285,ovtb_v285_p004166,,,,,,no,requires_label,
OVT-B,85,ovtb_v85_p002893,,,,,,no,requires_label,
OVT-B,968,ovtb_v968_p009129,,,,,,no,requires_label,
OVT-B,538,ovtb_v538_p005898,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002207,,,,,,no,requires_label,
OVT-B,910,ovtb_v910_p008683,,,,,,no,requires_label,
OVT-B,601,ovtb_v601_p006384,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002208,,,,,,no,requires_label,
OVT-B,42,ovtb_v42_p002570,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002209,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002210,,,,,,no,requires_label,
OVT-B,968,ovtb_v968_p009127,,,,,,no,requires_label,
OVT-B,514,ovtb_v514_p005708,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002211,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002212,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002213,,,,,,no,requires_label,
OVT-B,985,ovtb_v985_p009238,,,,,,no,requires_label,
OVT-B,591,ovtb_v591_p006323,,,,,,no,requires_label,
OVT-B,686,ovtb_v686_p007043,,,,,,no,requires_label,
OVT-B,40,ovtb_v40_p002442,,,,,,no,requires_label,
OVT-B,56,ovtb_v56_p002709,,,,,,no,requires_label,
OVT-B,847,ovtb_v847_p008220,,,,,,no,requires_label,
OVT-B,911,ovtb_v911_p008696,,,,,,no,requires_label,
OVT-B,366,ovtb_v366_p004722,,,,,,no,requires_label,
OVT-B,40,ovtb_v40_p002417,,,,,,no,requires_label,
OVT-B,92,ovtb_v92_p002927,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002214,,,,,,no,requires_label,
OVT-B,636,ovtb_v636_p006628,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002215,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002216,,,,,,no,requires_label,
OVT-B,221,ovtb_v221_p003694,,,,,,no,requires_label,
OVT-B,864,ovtb_v864_p008363,,,,,,no,requires_label,
OVT-B,601,ovtb_v601_p006385,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002217,,,,,,no,requires_label,
OVT-B,994,ovtb_v994_p009306,,,,,,no,requires_label,
OVT-B,35,ovtb_v35_p002133,,,,,,no,requires_label,
OVT-B,343,ovtb_v343_p004581,,,,,,no,requires_label,
OVT-B,554,ovtb_v554_p006031,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002218,,,,,,no,requires_label,
OVT-B,636,ovtb_v636_p006631,,,,,,no,requires_label,
OVT-B,864,ovtb_v864_p008362,,,,,,no,requires_label,
OVT-B,348,ovtb_v348_p004632,,,,,,no,requires_label,
OVT-B,487,ovtb_v487_p005564,,,,,,no,requires_label,
OVT-B,508,ovtb_v508_p005672,,,,,,no,requires_label,
OVT-B,351,ovtb_v351_p004645,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002219,,,,,,no,requires_label,
OVT-B,601,ovtb_v601_p006386,,,,,,no,requires_label,
OVT-B,529,ovtb_v529_p005837,,,,,,no,requires_label,
OVT-B,529,ovtb_v529_p005838,,,,,,no,requires_label,
OVT-B,813,ovtb_v813_p007998,,,,,,no,requires_label,
OVT-B,81,ovtb_v81_p002853,,,,,,no,requires_label,
OVT-B,148,ovtb_v148_p003264,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002220,,,,,,no,requires_label,
OVT-B,33,ovtb_v33_p001951,,,,,,no,requires_label,
OVT-B,995,ovtb_v995_p009313,,,,,,no,requires_label,
OVT-B,39,ovtb_v39_p002344,,,,,,no,requires_label,
OVT-B,910,ovtb_v910_p008684,,,,,,no,requires_label,
OVT-B,601,ovtb_v601_p006387,,,,,,no,requires_label,
OVT-B,817,ovtb_v817_p008024,,,,,,no,requires_label,
OVT-B,538,ovtb_v538_p005899,,,,,,no,requires_label,
OVT-B,443,ovtb_v443_p005245,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002221,,,,,,no,requires_label,
OVT-B,36,ovtb_v36_p002222,,,,,,no,requires_label,
OVT-B,475,ovtb_v475_p005473,,,,,,no,requires_label,
OVT-B,443,ovtb_v443_p005243,,,,,,no,requires_label,
OVT-B,443,ovtb_v443_p005246,,,,,,no,requires_label,
OVT-B,605,ovtb_v605_p006427,,,,,,no,requires_label,
OVT-B,40,ovtb_v40_p002413,,,,,,no,requires_label,
OVT-B,493,ovtb_v493_p005602,,,,,,no,requires_label,
OVT-B,330,ovtb_v330_p004529,,,,,,no,requires_label,
OVT-B,762,ovtb_v762_p007580,,,,,,no,requires_label,
OVT-B,443,ovtb_v443_p005235,,,,,,no,requires_label,
OVT-B,81,ovtb_v81_p002854,,,,,,no,requires_label,
OVT-B,522,ovtb_v522_p005745,,,,,,no,requires_label,
OVT-B,466,ovtb_v466_p005408,,,,,,no,requires_label,
OVT-B,30,ovtb_v30_p001637,,,,,,no,requires_label,
OVT-B,443,ovtb_v443_p005247,,,,,,no,requires_label,
OVT-B,918,ovtb_v918_p008741,,,,,,no,requires_label,
OVT-B,79,ovtb_v79_p002840,,,,,,no,requires_label,
OVT-B,591,ovtb_v591_p006320,,,,,,no,requires_label,
OVT-B,42,ovtb_v42_p002571,,,,,,no,requires_label,
OVT-B,556,ovtb_v556_p006045,,,,,,no,requires_label,
OVT-B,542,ovtb_v542_p005948,,,,,,no,requires_label,
OVT-B,605,ovtb_v605_p006425,,,,,,no,requires_label,
OVT-B,443,ovtb_v443_p005231,,,,,,no,requires_label,
OVT-B,574,ovtb_v574_p006201,,,,,,no,requires_label,
OVT-B,994,ovtb_v994_p009303,,,,,,no,requires_label,
OVT-B,30,ovtb_v30_p001638,,,,,,no,requires_label,
OVT-B,57,ovtb_v57_p002721,,,,,,no,requires_label,
OVT-B,371,ovtb_v371_p004745,,,,,,no,requires_label,
OVT-B,949,ovtb_v949_p009005,,,,,,no,requires_label,
OVT-B,636,ovtb_v636_p006623,,,,,,no,requires_label,
