dataset,generator,video_scope,alpha1,seed,candidate_budget_M,checkpoint,checkpoint_order,eligible_candidates,tau_k,self_consistency_margin,score_source,num_scope_videos,released,official_supported,unsupported,utr,audited_ftr_on_labeled_released,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,runtime_sec,min_scope_video_end,max_scope_video_end
OVT-B,GroundingDINO,all_test,0.1,0,150,10,10,13,,,final_evalue_checkpoint_slice,787,0,0,0,0.0,,,0.0,0.0,,
OVT-B,GroundingDINO,all_test,0.1,0,150,20,20,85,,,final_evalue_checkpoint_slice,787,0,0,0,0.0,,,0.0,0.0,,
OVT-B,GroundingDINO,all_test,0.1,0,150,40,40,145,15.0,0.20379193703410614,final_evalue_checkpoint_slice,787,100,99,1,0.01,0.0,0.01,0.6666666666666666,0.0,,
OVT-B,GroundingDINO,all_test,0.1,0,150,80,80,147,14.705882352941176,0.4979095840929304,final_evalue_checkpoint_slice,787,102,101,1,0.00980392156862745,0.0,0.00980392156862745,0.68,0.0,,
OVT-B,GroundingDINO,all_test,0.1,0,150,160,160,148,14.563106796116504,0.6406851409176024,final_evalue_checkpoint_slice,787,103,102,1,0.009708737864077669,0.0,0.009708737864077669,0.6866666666666666,0.0,,
OVT-B,GroundingDINO,all_test,0.1,0,150,final,1999999,150,14.285714285714286,0.9180776513198197,final_evalue_checkpoint_slice,787,105,103,2,0.01904761904761905,0.0,0.009523809523809525,0.7,0.0,,
OVT-B,GroundingDINO,long50_test,0.1,0,150,10,10,18,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,107.0,1049.0
OVT-B,GroundingDINO,long50_test,0.1,0,150,20,20,19,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,107.0,1049.0
OVT-B,GroundingDINO,long50_test,0.1,0,150,40,40,22,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,107.0,1049.0
OVT-B,GroundingDINO,long50_test,0.1,0,150,80,80,36,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,107.0,1049.0
OVT-B,GroundingDINO,long50_test,0.1,0,150,160,160,67,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,107.0,1049.0
OVT-B,GroundingDINO,long50_test,0.1,0,150,final,1999999,150,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,107.0,1049.0
OVT-B,GroundingDINO,all_test,0.1,1,150,10,10,16,,,final_evalue_checkpoint_slice,787,0,0,0,0.0,,,0.0,0.0,,
OVT-B,GroundingDINO,all_test,0.1,1,150,20,20,83,18.292682926829265,2.4088627298713945,final_evalue_checkpoint_slice,787,82,81,1,0.012195121951219513,,0.012195121951219513,0.5466666666666666,0.0,,
OVT-B,GroundingDINO,all_test,0.1,1,150,40,40,137,10.94890510948905,3.7423966527887487,final_evalue_checkpoint_slice,787,137,135,2,0.014598540145985401,0.0,0.014598540145985401,0.9133333333333333,0.0,,
OVT-B,GroundingDINO,all_test,0.1,1,150,80,80,138,10.869565217391305,3.8217365448864946,final_evalue_checkpoint_slice,787,138,136,2,0.014492753623188406,0.0,0.014492753623188406,0.92,0.0,,
OVT-B,GroundingDINO,all_test,0.1,1,150,160,160,140,10.714285714285714,3.9770160479920857,final_evalue_checkpoint_slice,787,140,137,3,0.02142857142857143,0.0,0.02142857142857143,0.9333333333333333,0.0,,
OVT-B,GroundingDINO,all_test,0.1,1,150,final,1999999,150,10.0,4.691301762277799,final_evalue_checkpoint_slice,787,150,146,4,0.02666666666666667,0.0,0.02,1.0,0.0,,
OVT-B,GroundingDINO,long50_test,0.1,1,150,10,10,7,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,114.0,901.0
OVT-B,GroundingDINO,long50_test,0.1,1,150,20,20,7,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,114.0,901.0
OVT-B,GroundingDINO,long50_test,0.1,1,150,40,40,8,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,114.0,901.0
OVT-B,GroundingDINO,long50_test,0.1,1,150,80,80,16,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,114.0,901.0
OVT-B,GroundingDINO,long50_test,0.1,1,150,160,160,33,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,114.0,901.0
OVT-B,GroundingDINO,long50_test,0.1,1,150,final,1999999,150,,,final_evalue_checkpoint_slice,50,0,0,0,0.0,,,0.0,0.0,114.0,901.0
OVT-B,GroundingDINO,all_test,0.1,2,150,10,10,19,,,final_evalue_checkpoint_slice,787,0,0,0,0.0,,,0.0,0.0,,
