dataset,source,policy,certified_risk_level_alpha,seed,M,released,release_rate_vs_M,UTR,empirical_audited_FTR,conservative_label_uncertainty_FTR,mass_ratio,has_alpha_control,release_decision,safe_refusal_reason,figure_role
OVT-B,OWLv2,PARC_certified_release_or_refusal,0.1,0,150,0.0,0.0,0.0,,0.0,0.0347132838396408,True,refusal,no_k_satisfies_uniform_self_consistency,main_parc_curve
OVT-B,OWLv2,raw_topM_count_reference_no_certificate,,0,150,150.0,1.0,,,,,False,release,,topM_reference_count_only
OVT-B,OWLv2,PARC_certified_release_or_refusal,0.1,1,150,0.0,0.0,0.0,,0.0,0.0192456733223414,True,refusal,no_k_satisfies_uniform_self_consistency,main_parc_curve
OVT-B,OWLv2,raw_topM_count_reference_no_certificate,,1,150,150.0,1.0,,,,,False,release,,topM_reference_count_only
OVT-B,OWLv2,PARC_certified_release_or_refusal,0.1,2,150,0.0,0.0,0.0,,0.0,0.0348655406041717,True,refusal,no_k_satisfies_uniform_self_consistency,main_parc_curve
OVT-B,OWLv2,raw_topM_count_reference_no_certificate,,2,150,150.0,1.0,,,,,False,release,,topM_reference_count_only
TAO,OWLv2,PARC_certified_release_or_refusal,0.1,0,150,0.0,0.0,0.0,,0.0,0.0251878412257681,True,refusal,no_k_satisfies_uniform_self_consistency,main_parc_curve
TAO,OWLv2,raw_topM_count_reference_no_certificate,,0,150,150.0,1.0,,,,,False,release,,topM_reference_count_only
TAO,OWLv2,PARC_certified_release_or_refusal,0.1,1,150,0.0,0.0,0.0,,0.0,0.0251559290221353,True,refusal,no_k_satisfies_uniform_self_consistency,main_parc_curve
TAO,OWLv2,raw_topM_count_reference_no_certificate,,1,150,150.0,1.0,,,,,False,release,,topM_reference_count_only
TAO,OWLv2,PARC_certified_release_or_refusal,0.1,2,150,0.0,0.0,0.0,,0.0,0.0251240107974674,True,refusal,no_k_satisfies_uniform_self_consistency,main_parc_curve
TAO,OWLv2,raw_topM_count_reference_no_certificate,,2,150,150.0,1.0,,,,,False,release,,topM_reference_count_only
OVT-B,OWL-ViT v1,PARC_certified_release_or_refusal,0.1,0,150,0.0,0.0,0.0,,0.0,0.0026593762559245,True,refusal,no_k_satisfies_uniform_self_consistency,main_parc_curve
OVT-B,OWL-ViT v1,raw_topM_count_reference_no_certificate,,0,150,150.0,1.0,,,,,False,release,,topM_reference_count_only
OVT-B,OWL-ViT v1,PARC_certified_release_or_refusal,0.1,1,150,0.0,0.0,0.0,,0.0,0.0025620321005338,True,refusal,no_k_satisfies_uniform_self_consistency,main_parc_curve
OVT-B,OWL-ViT v1,raw_topM_count_reference_no_certificate,,1,150,150.0,1.0,,,,,False,release,,topM_reference_count_only
OVT-B,OWL-ViT v1,PARC_certified_release_or_refusal,0.1,2,150,0.0,0.0,0.0,,0.0,0.0015772990392313,True,refusal,no_k_satisfies_uniform_self_consistency,main_parc_curve
OVT-B,OWL-ViT v1,raw_topM_count_reference_no_certificate,,2,150,150.0,1.0,,,,,False,release,,topM_reference_count_only
TAO,OWL-ViT v1,PARC_certified_release_or_refusal,0.1,0,150,0.0,0.0,0.0,,0.0,0.0020608227618976,True,refusal,no_k_satisfies_uniform_self_consistency,main_parc_curve
TAO,OWL-ViT v1,raw_topM_count_reference_no_certificate,,0,150,150.0,1.0,,,,,False,release,,topM_reference_count_only
TAO,OWL-ViT v1,PARC_certified_release_or_refusal,0.1,1,150,0.0,0.0,0.0,,0.0,0.0022139982858059,True,refusal,no_k_satisfies_uniform_self_consistency,main_parc_curve
