dataset,generator,certified_risk_level_alpha,M,expected_seeds,seeds_present,main_protocol_status,source_basis,paper_table_scope,notes
OVT-B,GroundingDINO detector-only,0.1,150,0;1;2,3,included_main_table,frozen black-box matrix,main_protocol_coverage,Main table uses frozen derived matrices; raw candidate regeneration requires original datasets and detector outputs.
TAO,GroundingDINO detector-only,0.1,150,0;1;2,3,included_main_table,frozen black-box matrix,main_protocol_coverage,Main table uses frozen derived matrices; raw candidate regeneration requires original datasets and detector outputs.
OVT-B,GroundingDINO + tracker,0.1,150,0;1;2,3,included_main_table,frozen cross-dataset certification matrix,main_protocol_coverage,Main table uses frozen derived matrices; raw candidate regeneration requires original datasets and detector outputs.
TAO,GroundingDINO + tracker,0.1,150,0;1;2,3,included_main_table,frozen cross-dataset certification matrix,main_protocol_coverage,Main table uses frozen derived matrices; raw candidate regeneration requires original datasets and detector outputs.
BURST,GroundingDINO,0.1,150,0;1;2,3,included_main_table,frozen BURST certification matrix,main_protocol_coverage,Main table uses frozen derived matrices; raw candidate regeneration requires original datasets and detector outputs.
OVT-B,OWLv2,0.1,150,0;1;2,3,included_main_table,frozen black-box matrix,main_protocol_coverage,Main table uses frozen derived matrices; raw candidate regeneration requires original datasets and detector outputs.
TAO,OWLv2,0.1,150,0;1;2,3,included_main_table,frozen black-box matrix,main_protocol_coverage,Main table uses frozen derived matrices; raw candidate regeneration requires original datasets and detector outputs.
BURST,OWLv2,0.1,150,0;1;2,3,included_main_table,frozen BURST stress matrix,main_protocol_coverage,Main table uses frozen derived matrices; raw candidate regeneration requires original datasets and detector outputs.
OVT-B,OWL-ViT v1,0.1,150,0;1;2,3,included_main_table,frozen black-box matrix,main_protocol_coverage,Main table uses frozen derived matrices; raw candidate regeneration requires original datasets and detector outputs.
TAO,OWL-ViT v1,0.1,150,0;1;2,3,included_main_table,frozen black-box matrix,main_protocol_coverage,Main table uses frozen derived matrices; raw candidate regeneration requires original datasets and detector outputs.
OVT-B,OVTrack official predictions,0.1,150,0;1;2,0,appendix_only_official_prediction_metadata_incomplete,published tracker adapter/provenance records,appendix_provenance_only,Excluded from core main table until official prediction hashes and conversion hashes are complete.
TAO,OVTrack official predictions,0.1,150,0;1;2,0,appendix_only_official_prediction_metadata_incomplete,published tracker adapter/provenance records,appendix_provenance_only,Excluded from core main table until official prediction hashes and conversion hashes are complete.
OVT-B,OVTR official predictions,0.1,150,0;1;2,0,appendix_only_official_prediction_metadata_incomplete,published tracker adapter/provenance records,appendix_provenance_only,Excluded from core main table until official prediction hashes and conversion hashes are complete.
TAO,OVTR official predictions,0.1,150,0;1;2,0,appendix_only_official_prediction_metadata_incomplete,published tracker adapter/provenance records,appendix_provenance_only,Excluded from core main table until official prediction hashes and conversion hashes are complete.
OVT-B,OVT-B baseline official predictions,0.1,150,0;1;2,0,appendix_only_official_prediction_metadata_incomplete,published tracker adapter/provenance records,appendix_provenance_only,Excluded from core main table until official prediction hashes and conversion hashes are complete.
TAO,OVT-B baseline official predictions,0.1,150,0;1;2,0,appendix_only_official_prediction_metadata_incomplete,published tracker adapter/provenance records,appendix_provenance_only,Excluded from core main table until official prediction hashes and conversion hashes are complete.
