dataset,generator,alpha1,seed,M,label_keep_rate,verified_positive_removal_rate,uncertain_rate_inflation,label_interpretation,released,UTR,audited_FTR,conservative_FTR,mass_ratio,emax,empty_reason,result_status
OVT-B,GroundingDINO,0.1,0,150,1.0,0.0,0.0,uncertain_as_unknown,105.0,,0.0,0.009524,1.0719256007826763,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,1.0,0.0,0.1,uncertain_as_unknown,105.0,,0.0,0.014524,1.0719256007826763,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,1.0,0.0,0.2,uncertain_as_unknown,105.0,,0.0,0.019524,1.0719256007826763,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,1.0,0.0,0.4,uncertain_as_unknown,105.0,,0.0,0.029524,1.0719256007826763,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.75,0.0,0.0,uncertain_as_unknown,90.932667,,0.0,0.009524,0.8039442005870072,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.75,0.0,0.1,uncertain_as_unknown,90.932667,,0.0,0.014524,0.8039442005870072,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.75,0.0,0.2,uncertain_as_unknown,90.932667,,0.0,0.019524,0.8039442005870072,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.75,0.0,0.4,uncertain_as_unknown,90.932667,,0.0,0.029524,0.8039442005870072,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.5,0.0,0.0,uncertain_as_unknown,74.246212,,0.0,0.009524,0.5359628003913381,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.5,0.0,0.1,uncertain_as_unknown,74.246212,,0.0,0.014524,0.5359628003913381,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.5,0.0,0.2,uncertain_as_unknown,74.246212,,0.0,0.019524,0.5359628003913381,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.5,0.0,0.4,uncertain_as_unknown,74.246212,,0.0,0.029524,0.5359628003913381,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.25,0.0,0.0,uncertain_as_unknown,52.5,,0.0,0.009524,0.2679814001956691,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.25,0.0,0.1,uncertain_as_unknown,52.5,,0.0,0.014524,0.2679814001956691,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.25,0.0,0.2,uncertain_as_unknown,52.5,,0.0,0.019524,0.2679814001956691,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.25,0.0,0.4,uncertain_as_unknown,52.5,,0.0,0.029524,0.2679814001956691,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.1,0.0,0.0,uncertain_as_unknown,33.203915,,0.0,0.009524,0.10719256007826763,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.1,0.0,0.1,uncertain_as_unknown,33.203915,,0.0,0.014524,0.10719256007826763,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.1,0.0,0.2,uncertain_as_unknown,33.203915,,0.0,0.019524,0.10719256007826763,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,0.1,0.0,0.4,uncertain_as_unknown,33.203915,,0.0,0.029524,0.10719256007826763,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,1.0,0.25,0.0,uncertain_as_unknown,105.0,,0.0,0.009524,1.0719256007826763,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,1.0,0.25,0.1,uncertain_as_unknown,105.0,,0.0,0.014524,1.0719256007826763,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,1.0,0.25,0.2,uncertain_as_unknown,105.0,,0.0,0.019524,1.0719256007826763,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
OVT-B,GroundingDINO,0.1,0,150,1.0,0.25,0.4,uncertain_as_unknown,105.0,,0.0,0.029524,1.0719256007826763,38.8326128927103,,actual_removal_rerun_with_derived_label_sparsity_sensitivity
