dataset,generator,baseline,certified_risk_level_alpha,M,seed,released,UTR,empirical_audited_FTR,conservative_FTR,mass_ratio,release_feasible,max_e,runtime,empty_reason,experiment_basis,notes
OVT-B,GroundingDINO,Full PARC,0.1,150,0,126.0,0.0793650793650793,0.0,0.0079365079365079,6.993223214042295,True,21.14416661026871,,,actual_frozen_baseline_matrix,
OVT-B,GroundingDINO,Per-generator calibrated score threshold,0.1,150,0,150.0,0.0666666666666666,0.0,0.9266666666666666,,,,0.0002340200589969,,actual_frozen_baseline_matrix,
OVT-B,GroundingDINO,Fixed score threshold,0.1,150,0,150.0,0.0666666666666666,0.0,0.9266666666666666,,,,0.0002340200589969,,score_threshold_reference_from_frozen_matrix,Frozen score-threshold baseline is used as fixed-threshold reference; no cross-generator score comparability is assumed.
OVT-B,GroundingDINO,Split conformal p-value threshold,0.1,150,0,150.0,0.0666666666666666,0.0,0.9266666666666666,,,,0.0001301340525969,,actual_frozen_baseline_matrix,
OVT-B,GroundingDINO,e-BH style selection,0.1,150,0,126.0,0.0793650793650793,0.0,0.9285714285714286,,,,0.0003634939203038,,actual_frozen_baseline_matrix,
OVT-B,GroundingDINO,Post-filter e-value threshold,0.1,150,0,126.0,0.0793650793650793,0.0,0.9285714285714286,,,,0.0003566610394045,,actual_frozen_baseline_matrix,
OVT-B,GroundingDINO,Raw top-M,0.1,150,0,150.0,0.0666666666666666,0.0,0.9266666666666666,,,,0.000130611937493,,actual_frozen_baseline_matrix,
OVT-B,GroundingDINO,Full PARC,0.1,150,1,0.0,0.0,,,-4.604769779873226,True,20.408264599127435,,no_k_satisfies_uniform_self_consistency,actual_frozen_baseline_matrix,
OVT-B,GroundingDINO,Per-generator calibrated score threshold,0.1,150,1,150.0,0.06,0.0,0.9466666666666668,,,,0.0001344491029158,,actual_frozen_baseline_matrix,
OVT-B,GroundingDINO,Fixed score threshold,0.1,150,1,150.0,0.06,0.0,0.9466666666666668,,,,0.0001344491029158,,score_threshold_reference_from_frozen_matrix,Frozen score-threshold baseline is used as fixed-threshold reference; no cross-generator score comparability is assumed.
OVT-B,GroundingDINO,Split conformal p-value threshold,0.1,150,1,150.0,0.06,0.0,0.9466666666666668,,,,0.0001328410580754,,actual_frozen_baseline_matrix,
OVT-B,GroundingDINO,e-BH style selection,0.1,150,1,0.0,0.0,,,,,,0.0002621799940243,,actual_frozen_baseline_matrix,
OVT-B,GroundingDINO,Post-filter e-value threshold,0.1,150,1,0.0,0.0,,,,,,0.0002364231040701,,actual_frozen_baseline_matrix,
OVT-B,GroundingDINO,Raw top-M,0.1,150,1,150.0,0.06,0.0,0.9466666666666668,,,,0.00011252600234,,actual_frozen_baseline_matrix,
OVT-B,GroundingDINO,Full PARC,0.1,150,2,0.0,0.0,,,-5.856038016393794,True,20.72417910987153,,no_k_satisfies_uniform_self_consistency,actual_frozen_baseline_matrix,
OVT-B,GroundingDINO,Per-generator calibrated score threshold,0.1,150,2,150.0,0.0066666666666666,,1.0,,,,0.000129974912852,,actual_frozen_baseline_matrix,
