dataset,generator,alpha1,seed,stress_level,split_rule,result_status,released,UTR,audited_FTR,conservative_FTR,mass_ratio,emax,empty_reason,assumption_status,paper_use,source_table,paper_status,M,label_interpretation,verified_positive_removal_ratio,released_reference,unsupported_true,unsupported_false,unsupported_uncertain,unsupported_unlabeled,empirical_ftr_under_interpretation,reference_conservative_ftr,note
OVT-B,GroundingDINO,0.1,0,iid_baseline,existing_random_seed_splits,existing_reference_certificate,105.0,0.019047619047619,0.0,0.0095238095238095,1.0642654355923875,38.546439933685846,,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.1,0,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.1,0,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.1,0,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,150.0,0.0533333333333333,0.0,0.02,1.7249101668151992,30.8851209998927,,assumption_boundary_actual_rerun,assumption_boundary_result,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.1,1,iid_baseline,existing_random_seed_splits,existing_reference_certificate,150.0,0.0266666666666666,0.0,0.02,1.46913017622778,37.20674236442314,,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.1,1,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.1,1,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.1,1,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,150.0,0.0533333333333333,0.0,0.02,1.7249101668151992,30.8851209998927,,assumption_boundary_actual_rerun,assumption_boundary_result,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.1,2,iid_baseline,existing_random_seed_splits,existing_reference_certificate,150.0,0.02,0.0,0.0066666666666666,2.0832338022762347,37.44649344759844,,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.1,2,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
