dataset,generator,alpha,certified_risk_level_alpha,M,seed,raw_topM_released,raw_topM_audited_false_rate,raw_topM_unsupported_rate,raw_topM_policy,parc_released,parc_UTR,parc_audited_FTR,parc_conservative_FTR,empirical_audited_FTR,conservative_label_uncertainty_FTR,mass_ratio,best_mass_ratio,self_consistency_margin,required_emax,max_observed_e,mean_observed_e,selected_e_min,selected_e_mean,selected_e_max,official_supported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,release_feasible,empty_reason,safe_refusal_reason,HOTA_or_proxy,IDF1_or_proxy,MOTA_or_proxy,runtime_sec,paper_table_scope,diagnostic_available,raw_topM_false_rate,diagnostic_reason,human_audit_false_examples
OVT-B,OWLv2,0.1,0.1,150,0,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0347132838396408,0.0347132838396408,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
OVT-B,OWLv2,0.1,0.1,150,1,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0192456733223414,0.0192456733223414,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
OVT-B,OWLv2,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0348655406041717,0.0348655406041717,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
TAO,OWLv2,0.1,0.1,150,0,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0251878412257681,0.0251878412257681,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
TAO,OWLv2,0.1,0.1,150,1,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0251559290221353,0.0251559290221353,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
TAO,OWLv2,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0251240107974674,0.0251240107974674,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
OVT-B,OWL-ViT v1,0.1,0.1,150,0,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0026593762559245,0.0026593762559245,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
OVT-B,OWL-ViT v1,0.1,0.1,150,1,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0025620321005338,0.0025620321005338,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
OVT-B,OWL-ViT v1,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0015772990392313,0.0015772990392313,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
TAO,OWL-ViT v1,0.1,0.1,150,0,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0020608227618976,0.0020608227618976,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
