dataset,generator,seed,certified_risk_level_alpha,M,raw_topM_false_rate,raw_topM_unsupported_rate,parc_released,safe_refusal_reason,mass_ratio,empty_reason
OVT-B,OWLv2,0,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0347132838396408,no_k_satisfies_uniform_self_consistency
OVT-B,OWLv2,1,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0192456733223414,no_k_satisfies_uniform_self_consistency
OVT-B,OWLv2,2,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0348655406041717,no_k_satisfies_uniform_self_consistency
TAO,OWLv2,0,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0251878412257681,no_k_satisfies_uniform_self_consistency
TAO,OWLv2,1,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0251559290221353,no_k_satisfies_uniform_self_consistency
TAO,OWLv2,2,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0251240107974674,no_k_satisfies_uniform_self_consistency
OVT-B,OWL-ViT v1,0,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0026593762559245,no_k_satisfies_uniform_self_consistency
OVT-B,OWL-ViT v1,1,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0025620321005338,no_k_satisfies_uniform_self_consistency
OVT-B,OWL-ViT v1,2,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0015772990392313,no_k_satisfies_uniform_self_consistency
TAO,OWL-ViT v1,0,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0020608227618976,no_k_satisfies_uniform_self_consistency
TAO,OWL-ViT v1,1,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0022139982858059,no_k_satisfies_uniform_self_consistency
TAO,OWL-ViT v1,2,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0020608227618976,no_k_satisfies_uniform_self_consistency
TAO,GroundingDINO detector-only,0,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0226472784572209,no_k_satisfies_uniform_self_consistency
TAO,GroundingDINO detector-only,1,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0227121088145159,no_k_satisfies_uniform_self_consistency
TAO,GroundingDINO detector-only,2,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,0.0225175333176006,no_k_satisfies_uniform_self_consistency
BURST,GroundingDINO,2,0.1,150,,,0.0,no_k_satisfies_uniform_self_consistency,-2.0774425199498765,no_k_satisfies_uniform_self_consistency
