dataset,scenario,alpha1,seed,method,M,released,UTR,audited_FTR,conservative_FTR,unsupported_true,unsupported_false,unsupported_uncertain,unsupported_unlabeled,mass_ratio,emax,empty_reason,self_consistency_margin,result_status,assumption_status,split_strategy,source_table,verified_positive_removal_ratio,label_interpretation
OVT-B,severe_sparse_annotation_shift,0.1,0,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0533333333333333,0.0,0.02,5.0,0.0,0.0,3.0,1.7249101668151992,30.8851209998927,,7.24910166815199,actual_rerun,assumption_boundary_actual_rerun,severe_sparse_annotation_shift,outputs/milestones/reliability_fortress/table_nonexchangeability_severe_actual_results.csv,,
OVT-B,severe_sparse_annotation_shift,0.1,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0533333333333333,0.0,0.02,5.0,0.0,0.0,3.0,1.7249101668151992,30.8851209998927,,7.24910166815199,actual_rerun,assumption_boundary_actual_rerun,severe_sparse_annotation_shift,outputs/milestones/reliability_fortress/table_nonexchangeability_severe_actual_results.csv,,
OVT-B,severe_sparse_annotation_shift,0.1,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0533333333333333,0.0,0.02,5.0,0.0,0.0,3.0,1.7249101668151992,30.8851209998927,,7.24910166815199,actual_rerun,assumption_boundary_actual_rerun,severe_sparse_annotation_shift,outputs/milestones/reliability_fortress/table_nonexchangeability_severe_actual_results.csv,,
OVT-B,severe_sparse_annotation_shift,0.2,0,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0533333333333333,0.0,0.02,5.0,0.0,0.0,3.0,3.4498203336303983,30.8851209998927,,12.24910166815199,actual_rerun,assumption_boundary_actual_rerun,severe_sparse_annotation_shift,outputs/milestones/reliability_fortress/table_nonexchangeability_severe_actual_results.csv,,
OVT-B,severe_sparse_annotation_shift,0.2,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0533333333333333,0.0,0.02,5.0,0.0,0.0,3.0,3.4498203336303983,30.8851209998927,,12.24910166815199,actual_rerun,assumption_boundary_actual_rerun,severe_sparse_annotation_shift,outputs/milestones/reliability_fortress/table_nonexchangeability_severe_actual_results.csv,,
OVT-B,severe_sparse_annotation_shift,0.2,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0533333333333333,0.0,0.02,5.0,0.0,0.0,3.0,3.4498203336303983,30.8851209998927,,12.24910166815199,actual_rerun,assumption_boundary_actual_rerun,severe_sparse_annotation_shift,outputs/milestones/reliability_fortress/table_nonexchangeability_severe_actual_results.csv,,
TAO,severe_sparse_annotation_shift,0.1,0,parc_track_gamma_tuned_uniform_scs,150,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,33.240220081899686,no_k_satisfies_uniform_self_consistency,,actual_rerun,assumption_boundary_actual_rerun,severe_sparse_annotation_shift,outputs/milestones/reliability_fortress/table_nonexchangeability_severe_actual_results.csv,,
TAO,severe_sparse_annotation_shift,0.1,1,parc_track_gamma_tuned_uniform_scs,150,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,33.240220081899686,no_k_satisfies_uniform_self_consistency,,actual_rerun,assumption_boundary_actual_rerun,severe_sparse_annotation_shift,outputs/milestones/reliability_fortress/table_nonexchangeability_severe_actual_results.csv,,
TAO,severe_sparse_annotation_shift,0.1,2,parc_track_gamma_tuned_uniform_scs,150,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,33.240220081899686,no_k_satisfies_uniform_self_consistency,,actual_rerun,assumption_boundary_actual_rerun,severe_sparse_annotation_shift,outputs/milestones/reliability_fortress/table_nonexchangeability_severe_actual_results.csv,,
TAO,severe_sparse_annotation_shift,0.2,0,parc_track_gamma_tuned_uniform_scs,150,44.0,0.0909090909090909,0.1666666666666666,0.0227272727272727,3.0,1.0,0.0,0.0,1.0874567284535706,33.240220081899686,,1.4907396895494998,actual_rerun,assumption_boundary_actual_rerun,severe_sparse_annotation_shift,outputs/milestones/reliability_fortress/table_nonexchangeability_severe_actual_results.csv,,
