dataset,generator,alpha1,seed,M,shift_scenario,split_rule,released,UTR,audited_FTR,conservative_FTR,mass_ratio,emax,empty_reason,assumption_status,result_status
OVT-B,GroundingDINO,0.1,0,150,severe_sparse_annotation_shift,severe_sparse_annotation_shift,150.0,0.0533333333333333,0.0,0.02,1.7249101668151992,30.8851209998927,,assumption_boundary_actual_rerun,actual_rerun
OVT-B,GroundingDINO,0.1,1,150,severe_sparse_annotation_shift,severe_sparse_annotation_shift,150.0,0.0533333333333333,0.0,0.02,1.7249101668151992,30.8851209998927,,assumption_boundary_actual_rerun,actual_rerun
OVT-B,GroundingDINO,0.1,2,150,severe_sparse_annotation_shift,severe_sparse_annotation_shift,150.0,0.0533333333333333,0.0,0.02,1.7249101668151992,30.8851209998927,,assumption_boundary_actual_rerun,actual_rerun
OVT-B,GroundingDINO,0.2,0,150,severe_sparse_annotation_shift,severe_sparse_annotation_shift,150.0,0.0533333333333333,0.0,0.02,3.4498203336303983,30.8851209998927,,assumption_boundary_actual_rerun,actual_rerun
OVT-B,GroundingDINO,0.2,1,150,severe_sparse_annotation_shift,severe_sparse_annotation_shift,150.0,0.0533333333333333,0.0,0.02,3.4498203336303983,30.8851209998927,,assumption_boundary_actual_rerun,actual_rerun
OVT-B,GroundingDINO,0.2,2,150,severe_sparse_annotation_shift,severe_sparse_annotation_shift,150.0,0.0533333333333333,0.0,0.02,3.4498203336303983,30.8851209998927,,assumption_boundary_actual_rerun,actual_rerun
TAO,GroundingDINO,0.1,0,150,severe_sparse_annotation_shift,severe_sparse_annotation_shift,0.0,0.0,,,0.0,33.240220081899686,no_k_satisfies_uniform_self_consistency,assumption_boundary_actual_rerun,actual_rerun
TAO,GroundingDINO,0.1,1,150,severe_sparse_annotation_shift,severe_sparse_annotation_shift,0.0,0.0,,,0.0,33.240220081899686,no_k_satisfies_uniform_self_consistency,assumption_boundary_actual_rerun,actual_rerun
TAO,GroundingDINO,0.1,2,150,severe_sparse_annotation_shift,severe_sparse_annotation_shift,0.0,0.0,,,0.0,33.240220081899686,no_k_satisfies_uniform_self_consistency,assumption_boundary_actual_rerun,actual_rerun
TAO,GroundingDINO,0.2,0,150,severe_sparse_annotation_shift,severe_sparse_annotation_shift,44.0,0.0909090909090909,0.1666666666666666,0.0227272727272727,1.0874567284535706,33.240220081899686,,assumption_boundary_actual_rerun,actual_rerun
TAO,GroundingDINO,0.2,1,150,severe_sparse_annotation_shift,severe_sparse_annotation_shift,44.0,0.0909090909090909,0.1666666666666666,0.0227272727272727,1.0874567284535706,33.240220081899686,,assumption_boundary_actual_rerun,actual_rerun
TAO,GroundingDINO,0.2,2,150,severe_sparse_annotation_shift,severe_sparse_annotation_shift,44.0,0.0909090909090909,0.1666666666666666,0.0227272727272727,1.0874567284535706,33.240220081899686,,assumption_boundary_actual_rerun,actual_rerun
OVT-B,GroundingDINO detector-only,0.1,0,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.37249290245733563,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,0,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.4789194460165744,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,0,150,common_classes_to_tail_classes,head_to_tail_query_shift,0.0,0.0,0.0,0.0,0.5321327177961938,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,0,150,large_objects_to_small_objects,size_shift_large_to_small,0.0,0.0,0.0,0.0,0.5853459895758132,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,0,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,0.0,0.0,0.0,0.0,0.6385592613554325,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,0,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,0.0,0.0,0.0,0.0,0.5321327177961938,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,1,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.5141955616797229,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,1,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.661108579302501,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,1,150,common_classes_to_tail_classes,head_to_tail_query_shift,0.0,0.0,0.0,0.0,0.73456508811389,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,1,150,large_objects_to_small_objects,size_shift_large_to_small,0.0,0.0,0.0,0.0,0.8080215969252791,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,1,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,0.0,0.0,0.0,0.0,0.881478105736668,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,1,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,0.0,0.0,0.0,0.0,0.73456508811389,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,2,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.7291318307966821,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,2,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.9374552110243056,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,2,150,common_classes_to_tail_classes,head_to_tail_query_shift,150.0,0.02,,0.0066666666666666,1.0416169011381173,,,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,2,150,large_objects_to_small_objects,size_shift_large_to_small,150.0,0.02,,0.0066666666666666,1.1457785912519292,,,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,2,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,150.0,0.02,,0.0066666666666666,1.2499402813657408,,,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO detector-only,0.1,2,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,150.0,0.02,,0.0066666666666666,1.0416169011381173,,,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,0,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.007926547460027314,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,0,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.010191275305749405,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,0,150,common_classes_to_tail_classes,head_to_tail_query_shift,0.0,0.0,0.0,0.0,0.01132363922861045,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,0,150,large_objects_to_small_objects,size_shift_large_to_small,0.0,0.0,0.0,0.0,0.012456003151471495,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,0,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,0.0,0.0,0.0,0.0,0.013588367074332539,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,0,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,0.0,0.0,0.0,0.0,0.01132363922861045,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,1,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.007949238085080565,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,1,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.010220448966532156,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,1,150,common_classes_to_tail_classes,head_to_tail_query_shift,0.0,0.0,0.0,0.0,0.01135605440725795,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,1,150,large_objects_to_small_objects,size_shift_large_to_small,0.0,0.0,0.0,0.0,0.012491659847983746,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,1,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,0.0,0.0,0.0,0.0,0.01362726528870954,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,1,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,0.0,0.0,0.0,0.0,0.01135605440725795,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
