method,alpha1,candidate_budget_M,released,utr,conservative_ftr,margin,nonempty_rate
confidence_threshold,0.05,75,75 ± 0,0 ± 0,0.9556 ± 0.007698,,1.000
confidence_threshold,0.05,100,100 ± 0,0.01 ± 0.01,0.9567 ± 0.005774,,1.000
confidence_threshold,0.05,125,125 ± 0,0.016 ± 0.01386,0.9627 ± 0.009238,,1.000
confidence_threshold,0.05,150,150 ± 0,0.02667 ± 0.01155,0.9667 ± 0.006667,,1.000
confidence_threshold,0.05,175,175 ± 0,0.03429 ± 0.005714,0.9676 ± 0.008729,,1.000
confidence_threshold,0.05,200,200 ± 0,0.035 ± 0.00866,0.9717 ± 0.007638,,1.000
confidence_threshold,0.05,250,250 ± 0,0.044 ± 0.012,0.9747 ± 0.008327,,1.000
confidence_threshold,0.1,75,75 ± 0,0 ± 0,0.9556 ± 0.007698,,1.000
confidence_threshold,0.1,100,100 ± 0,0.01 ± 0.01,0.9567 ± 0.005774,,1.000
confidence_threshold,0.1,125,125 ± 0,0.016 ± 0.01386,0.9627 ± 0.009238,,1.000
confidence_threshold,0.1,150,150 ± 0,0.02667 ± 0.01155,0.9667 ± 0.006667,,1.000
confidence_threshold,0.1,175,175 ± 0,0.03429 ± 0.005714,0.9676 ± 0.008729,,1.000
confidence_threshold,0.1,200,200 ± 0,0.035 ± 0.00866,0.9717 ± 0.007638,,1.000
confidence_threshold,0.1,250,250 ± 0,0.044 ± 0.012,0.9747 ± 0.008327,,1.000
confidence_threshold,0.2,75,75 ± 0,0 ± 0,0.9556 ± 0.007698,,1.000
confidence_threshold,0.2,100,100 ± 0,0.01 ± 0.01,0.9567 ± 0.005774,,1.000
confidence_threshold,0.2,125,125 ± 0,0.016 ± 0.01386,0.9627 ± 0.009238,,1.000
confidence_threshold,0.2,150,150 ± 0,0.02667 ± 0.01155,0.9667 ± 0.006667,,1.000
confidence_threshold,0.2,175,175 ± 0,0.03429 ± 0.005714,0.9676 ± 0.008729,,1.000
confidence_threshold,0.2,200,200 ± 0,0.035 ± 0.00866,0.9717 ± 0.007638,,1.000
confidence_threshold,0.2,250,250 ± 0,0.044 ± 0.012,0.9747 ± 0.008327,,1.000
greedy_score_no_risk,0.05,75,75 ± 0,0 ± 0,0.9556 ± 0.007698,,1.000
greedy_score_no_risk,0.05,100,100 ± 0,0.01 ± 0.01,0.9567 ± 0.005774,,1.000
greedy_score_no_risk,0.05,125,125 ± 0,0.016 ± 0.01386,0.9627 ± 0.009238,,1.000
greedy_score_no_risk,0.05,150,150 ± 0,0.02667 ± 0.01155,0.9667 ± 0.006667,,1.000
greedy_score_no_risk,0.05,175,175 ± 0,0.03429 ± 0.005714,0.9676 ± 0.008729,,1.000
greedy_score_no_risk,0.05,200,200 ± 0,0.035 ± 0.00866,0.9717 ± 0.007638,,1.000
greedy_score_no_risk,0.05,250,250 ± 0,0.044 ± 0.012,0.9747 ± 0.008327,,1.000
greedy_score_no_risk,0.1,75,75 ± 0,0 ± 0,0.9556 ± 0.007698,,1.000
greedy_score_no_risk,0.1,100,100 ± 0,0.01 ± 0.01,0.9567 ± 0.005774,,1.000
greedy_score_no_risk,0.1,125,125 ± 0,0.016 ± 0.01386,0.9627 ± 0.009238,,1.000
greedy_score_no_risk,0.1,150,150 ± 0,0.02667 ± 0.01155,0.9667 ± 0.006667,,1.000
greedy_score_no_risk,0.1,175,175 ± 0,0.03429 ± 0.005714,0.9676 ± 0.008729,,1.000
greedy_score_no_risk,0.1,200,200 ± 0,0.035 ± 0.00866,0.9717 ± 0.007638,,1.000
greedy_score_no_risk,0.1,250,250 ± 0,0.044 ± 0.012,0.9747 ± 0.008327,,1.000
greedy_score_no_risk,0.2,75,75 ± 0,0 ± 0,0.9556 ± 0.007698,,1.000
greedy_score_no_risk,0.2,100,100 ± 0,0.01 ± 0.01,0.9567 ± 0.005774,,1.000
greedy_score_no_risk,0.2,125,125 ± 0,0.016 ± 0.01386,0.9627 ± 0.009238,,1.000
greedy_score_no_risk,0.2,150,150 ± 0,0.02667 ± 0.01155,0.9667 ± 0.006667,,1.000
greedy_score_no_risk,0.2,175,175 ± 0,0.03429 ± 0.005714,0.9676 ± 0.008729,,1.000
greedy_score_no_risk,0.2,200,200 ± 0,0.035 ± 0.00866,0.9717 ± 0.007638,,1.000
greedy_score_no_risk,0.2,250,250 ± 0,0.044 ± 0.012,0.9747 ± 0.008327,,1.000
null_superset_no_audit,0.05,75,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.05,100,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.05,125,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.05,150,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.05,175,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.05,200,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.05,250,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.1,75,75 ± 0,0 ± 0,0 ± 0,0.5931 ± 0.06534,1.000
null_superset_no_audit,0.1,100,21.67 ± 18.82,0 ± 0,0 ± 0,3.379 ± 2.15,0.667
null_superset_no_audit,0.1,125,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.1,150,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.1,175,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.1,200,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.1,250,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.2,75,75 ± 0,0 ± 0,0 ± 0,5.593 ± 0.06534,1.000
null_superset_no_audit,0.2,100,100 ± 0,0.01 ± 0.01,0.003333 ± 0.005774,3.359 ± 0.721,1.000
null_superset_no_audit,0.2,125,125 ± 0,0.016 ± 0.01386,0.008 ± 0.01386,1.681 ± 0.8312,1.000
null_superset_no_audit,0.2,150,140.3 ± 14.22,0.02514 ± 0.01479,0.01796 ± 0.01556,0.3803 ± 0.1359,1.000
null_superset_no_audit,0.2,175,127 ± 40.34,0.02473 ± 0.02142,0.01816 ± 0.01598,0.0607 ± 0.04194,1.000
null_superset_no_audit,0.2,200,21.67 ± 18.82,0 ± 0,0 ± 0,3.379 ± 2.15,0.667
null_superset_no_audit,0.2,250,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.05,75,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.05,100,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.05,125,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.05,150,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.05,175,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.05,200,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.05,250,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.1,75,75 ± 0,0 ± 0,0 ± 0,3.44 ± 0.05697,1.000
parc_track_gamma_tuned_uniform_scs,0.1,100,99 ± 1.732,0.00677 ± 0.005865,0 ± 0,0.4417 ± 0.1757,1.000
parc_track_gamma_tuned_uniform_scs,0.1,125,31.33 ± 54.27,0.003546 ± 0.006142,0 ± 0,0.1542 ± 0,0.333
parc_track_gamma_tuned_uniform_scs,0.1,150,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.1,175,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.1,200,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.1,250,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.2,75,75 ± 0,0 ± 0,0 ± 0,8.44 ± 0.05697,1.000
parc_track_gamma_tuned_uniform_scs,0.2,100,100 ± 0,0.01 ± 0.01,0.003333 ± 0.005774,4.941 ± 1.038,1.000
parc_track_gamma_tuned_uniform_scs,0.2,125,125 ± 0,0.016 ± 0.01386,0.008 ± 0.01386,2.604 ± 1.1,1.000
parc_track_gamma_tuned_uniform_scs,0.2,150,147.3 ± 4.619,0.02457 ± 0.01518,0.01778 ± 0.0154,0.5995 ± 0.5049,1.000
parc_track_gamma_tuned_uniform_scs,0.2,175,155.3 ± 27.43,0.02609 ± 0.01563,0.01751 ± 0.01534,0.2765 ± 0.1559,1.000
parc_track_gamma_tuned_uniform_scs,0.2,200,135.3 ± 56.08,0.01981 ± 0.01749,0.01167 ± 0.02021,0.6576 ± 0.4344,1.000
parc_track_gamma_tuned_uniform_scs,0.2,250,31.33 ± 54.27,0.003546 ± 0.006142,0 ± 0,0.1542 ± 0,0.333
post_filter_e_bh,0.05,75,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.05,100,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.05,125,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.05,150,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.05,175,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.05,200,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.05,250,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.1,75,75 ± 0,0 ± 0,0.9556 ± 0.007698,3.44 ± 0.05697,1.000
post_filter_e_bh,0.1,100,99 ± 1.732,0.00677 ± 0.005865,0.9563 ± 0.005452,0.4417 ± 0.1757,1.000
post_filter_e_bh,0.1,125,31.33 ± 54.27,0.003546 ± 0.006142,0.9574 ± 0,0.1542 ± 0,0.333
post_filter_e_bh,0.1,150,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.1,175,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.1,200,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.1,250,0 ± 0,0 ± 0,,,0.000
post_filter_e_bh,0.2,75,75 ± 0,0 ± 0,0.9556 ± 0.007698,8.44 ± 0.05697,1.000
post_filter_e_bh,0.2,100,100 ± 0,0.01 ± 0.01,0.9567 ± 0.005774,4.941 ± 1.038,1.000
