alpha1,seed,method,candidate_budget_M,n_cal_total,n_covered,n_rank_denominator,p_min_effective,gamma,gamma_star_eff,emax_effective,max_observed_e,best_margin,empty_diagnostic
0.05,0,unmatched_as_false_block,75,708.0,591.0,591.0,0.0016891891891891,0.5,0.1566537104442394,12.16552506059644,12.16552506059644,-13.917237469701782,resolution_below_required_emax
0.05,0,unmatched_as_false_block,100,708.0,591.0,591.0,0.0016891891891891,0.5,0.1566537104442394,12.16552506059644,12.16552506059644,-15.03344519141622,resolution_below_required_emax
0.05,0,unmatched_as_false_block,125,708.0,591.0,591.0,0.0016891891891891,0.5,0.1566537104442394,12.16552506059644,12.16552506059644,-15.03344519141622,resolution_below_required_emax
0.05,0,unmatched_as_false_block,150,708.0,591.0,591.0,0.0016891891891891,0.5,0.1566537104442394,12.16552506059644,12.16552506059644,-16.15292318766573,resolution_below_required_emax
0.05,0,unmatched_as_false_block,175,708.0,591.0,591.0,0.0016891891891891,0.5,0.1566537104442394,12.16552506059644,12.16552506059644,-16.33195618148509,resolution_below_required_emax
0.05,0,unmatched_as_false_block,200,708.0,591.0,591.0,0.0016891891891891,0.5,0.1566537104442394,12.16552506059644,12.16552506059644,-16.33195618148509,resolution_below_required_emax
0.05,0,unmatched_as_false_block,250,708.0,591.0,591.0,0.0016891891891891,0.5,0.1566537104442394,12.16552506059644,12.16552506059644,-16.95861873485089,resolution_below_required_emax
0.05,0,null_superset_no_audit,75,708.0,591.0,591.0,0.0016891891891891,0.1566537104442394,0.1566537104442394,34.11677023775056,34.11677023775056,-9.402025970654432,insufficient_high_e_mass_for_uniform_scs
0.05,0,null_superset_no_audit,100,708.0,591.0,591.0,0.0016891891891891,0.1566537104442394,0.1566537104442394,34.11677023775056,34.11677023775056,-10.678621715335284,insufficient_high_e_mass_for_uniform_scs
0.05,0,null_superset_no_audit,125,708.0,591.0,591.0,0.0016891891891891,0.1566537104442394,0.1566537104442394,34.11677023775056,34.11677023775056,-12.471352889450609,insufficient_high_e_mass_for_uniform_scs
0.05,0,null_superset_no_audit,150,708.0,591.0,591.0,0.0016891891891891,0.1566537104442394,0.1566537104442394,34.11677023775056,34.11677023775056,-15.059921501527825,insufficient_high_e_mass_for_uniform_scs
0.05,0,null_superset_no_audit,175,708.0,591.0,591.0,0.0016891891891891,0.1566537104442394,0.1566537104442394,34.11677023775056,34.11677023775056,-15.484422985415966,insufficient_high_e_mass_for_uniform_scs
0.05,0,null_superset_no_audit,200,708.0,591.0,591.0,0.0016891891891891,0.1566537104442394,0.1566537104442394,34.11677023775056,34.11677023775056,-15.484422985415966,insufficient_high_e_mass_for_uniform_scs
0.05,0,null_superset_no_audit,250,708.0,591.0,591.0,0.0016891891891891,0.1566537104442394,0.1566537104442394,34.11677023775056,34.11677023775056,-16.55835963393221,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,75,708.0,588.0,588.0,0.0016977928692699,0.1567784859787324,0.1567784859787324,33.97091768583136,33.97091768583136,-2.6144481678271703,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,100,708.0,588.0,588.0,0.0016977928692699,0.1567784859787324,0.1567784859787324,33.97091768583136,33.97091768583136,-7.824548862325805,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,125,708.0,588.0,588.0,0.0016977928692699,0.1567784859787324,0.1567784859787324,33.97091768583136,33.97091768583136,-11.25578688615508,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,150,708.0,588.0,588.0,0.0016977928692699,0.1567784859787324,0.1567784859787324,33.97091768583136,33.97091768583136,-13.82397212247225,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,175,708.0,588.0,588.0,0.0016977928692699,0.1567784859787324,0.1567784859787324,33.97091768583136,33.97091768583136,-14.673162291386902,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,200,708.0,588.0,588.0,0.0016977928692699,0.1567784859787324,0.1567784859787324,33.97091768583136,33.97091768583136,-14.673162291386902,insufficient_high_e_mass_for_uniform_scs
