method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,best_M_on_test_grid,diagnostic_only
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,239,11,,,,,,,,,0.044,0.2,,0.984,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001723300665616,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,239,11,,,,,,,,,0.044,0.2,,0.984,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.000152189284563,top_m_by_score_no_risk_control,250,True
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,708.0,591.0,117.0,591.0,591.0,591.0,117.0,0.0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891,0.0016891891891891,39.72122294384446,34.11677023775056,20.0,True,34.11677023775056,21.51894043304608,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2753.0,,,75.0,20.0,-9.402025970654432,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,75,True
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.05,final_score_proxy,708.0,588.0,120.0,588.0,588.0,588.0,120.0,0.0,0.1567784859787324,0.1567784859787324,0.001410437235543,0.0016977928692699,0.0016977928692699,39.72031650906805,33.97091768583136,20.0,True,33.97091768583136,24.815249810992995,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,41.0,2712.0,,,41.0,36.58536585365853,-2.6144481678271703,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,75,True
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,75,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.000321359373629,block_evalue_post_filter,75,True
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,75,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.0003480613231658,tracklet_level_e_self_consistency,75,True
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,239,11,,,,,,,,,0.044,0.2,,0.984,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001700306311249,tracklet_level_p_bh,250,True
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,708.0,591.0,117.0,591.0,591.0,591.0,117.0,0.0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891,0.0016891891891891,13.313526955694432,12.16552506059644,20.0,True,12.16552506059644,8.958006251407944,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2753.0,,,75.0,20.0,-13.917237469701782,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,,75,True
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,236,14,,,,,,,,,0.056,0.0,,0.968,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001693097874522,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,236,14,,,,,,,,,0.056,0.0,,0.968,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001521399244666,top_m_by_score_no_risk_control,250,True
