dataset,video_id,path_id,first_pass_label,verified_positive_for_calibration,second_rater_label,second_rater_verified_positive_for_calibration,second_rater_reason,second_rater_confidence
TAO,4537,ovtb_v4537_p002990,actually_true,no,,,,
OVT-B,61,ovtb_v61_p002740,actually_false,no,,,,
TAO,4969,ovtb_v4969_p003364,actually_true,no,,,,
TAO,5008,ovtb_v5008_p003440,actually_true,no,,,,
OVT-B,199,ovtb_v199_p003510,actually_false,no,,,,
TAO,739,ovtb_v739_p000426,actually_true,no,,,,
TAO,2396,ovtb_v2396_p001075,actually_true,no,,,,
OVT-B,240,ovtb_v240_p003840,actually_true,no,,,,
TAO,2516,ovtb_v2516_p001225,actually_false,no,,,,
OVT-B,122,ovtb_v122_p003097,actually_true,yes,,,,
TAO,5370,ovtb_v5370_p003860,actually_true,no,,,,
OVT-B,49,ovtb_v49_p002657,actually_true,yes,,,,
OVT-B,80,ovtb_v80_p002842,actually_false,no,,,,
OVT-B,85,ovtb_v85_p002894,actually_true,yes,,,,
TAO,4411,ovtb_v4411_p002619,actually_false,no,,,,
OVT-B,137,ovtb_v137_p003196,actually_true,yes,,,,
OVT-B,118,ovtb_v118_p003076,actually_true,yes,,,,
TAO,5280,ovtb_v5280_p003719,actually_true,yes,,,,
TAO,303,ovtb_v303_p000145,actually_true,no,,,,
OVT-B,216,ovtb_v216_p003615,actually_false,no,,,,
TAO,1836,ovtb_v1836_p000778,actually_true,no,,,,
TAO,3247,ovtb_v3247_p001760,actually_true,no,,,,
TAO,5673,ovtb_v5673_p004124,actually_true,no,,,,
TAO,3072,ovtb_v3072_p001495,actually_true,yes,,,,
TAO,3786,ovtb_v3786_p002194,actually_true,no,,,,
OVT-B,112,ovtb_v112_p003053,actually_true,yes,,,,
TAO,5881,ovtb_v5881_p004384,actually_true,no,,,,
TAO,5319,ovtb_v5319_p003802,actually_true,no,,,,
TAO,3168,ovtb_v3168_p001690,actually_true,no,,,,
TAO,4773,ovtb_v4773_p003225,actually_true,yes,,,,
OVT-B,61,ovtb_v61_p002738,actually_true,yes,,,,
TAO,5938,ovtb_v5938_p004421,actually_true,no,,,,
TAO,3027,ovtb_v3027_p001448,actually_true,no,,,,
TAO,535,ovtb_v535_p000332,actually_true,no,,,,
TAO,5268,ovtb_v5268_p003719,actually_true,no,,,,
TAO,4159,ovtb_v4159_p002388,actually_true,no,,,,
OVT-B,211,ovtb_v211_p003572,actually_false,no,,,,
TAO,5294,ovtb_v5294_p003686,actually_true,yes,,,,
TAO,5304,ovtb_v5304_p003748,actually_true,no,,,,
TAO,907,ovtb_v907_p000462,actually_true,no,,,,
OVT-B,39,ovtb_v39_p002369,actually_true,no,,,,
TAO,3401,ovtb_v3401_p001911,actually_true,yes,,,,
TAO,5480,ovtb_v5480_p003931,actually_true,no,,,,
TAO,1790,ovtb_v1790_p000687,actually_true,no,,,,
TAO,4336,ovtb_v4336_p002801,actually_true,no,,,,
TAO,4487,ovtb_v4487_p002750,actually_true,no,,,,
TAO,2207,ovtb_v2207_p000971,actually_true,no,,,,
TAO,2175,ovtb_v2175_p001048,actually_true,no,,,,
OVT-B,63,ovtb_v63_p002757,actually_true,no,,,,
TAO,3600,ovtb_v3600_p002264,actually_false,no,,,,
TAO,5148,ovtb_v5148_p003618,actually_true,no,,,,
TAO,4055,ovtb_v4055_p002510,actually_true,yes,,,,
TAO,2491,ovtb_v2491_p001141,actually_true,no,,,,
TAO,3878,ovtb_v3878_p002388,actually_true,no,,,,
OVT-B,228,ovtb_v228_p003747,actually_true,yes,,,,
TAO,5008,ovtb_v5008_p003445,actually_false,no,,,,
TAO,4885,ovtb_v4885_p003294,actually_false,no,,,,
OVT-B,112,ovtb_v112_p003054,actually_true,yes,,,,
TAO,4125,ovtb_v4125_p002617,actually_true,no,,,,
TAO,3033,ovtb_v3033_p001573,actually_true,no,,,,
OVT-B,168,ovtb_v168_p003363,actually_false,no,,,,
TAO,4007,ovtb_v4007_p002451,actually_true,no,,,,
TAO,5007,ovtb_v5007_p003483,actually_true,no,,,,
TAO,4969,ovtb_v4969_p003368,actually_true,no,,,,
TAO,3410,ovtb_v3410_p002084,actually_true,no,,,,
TAO,5886,ovtb_v5886_p004364,actually_true,yes,,,,
TAO,1192,ovtb_v1192_p000529,actually_true,no,,,,
TAO,2334,ovtb_v2334_p001133,actually_true,no,,,,
TAO,4872,ovtb_v4872_p003344,actually_true,no,,,,
TAO,5644,ovtb_v5644_p004123,actually_true,no,,,,
TAO,635,ovtb_v635_p000383,actually_true,no,,,,
OVT-B,85,ovtb_v85_p002887,actually_true,no,,,,
TAO,3495,ovtb_v3495_p002105,actually_true,no,,,,
TAO,5409,ovtb_v5409_p003893,actually_true,no,,,,
TAO,4465,ovtb_v4465_p002652,actually_true,no,,,,
OVT-B,39,ovtb_v39_p002379,actually_true,no,,,,
TAO,5502,ovtb_v5502_p004019,actually_false,no,,,,
TAO,4589,ovtb_v4589_p003037,actually_true,no,,,,
TAO,371,ovtb_v371_p000199,actually_true,no,,,,
TAO,3808,ovtb_v3808_p002309,actually_true,no,,,,
TAO,2386,ovtb_v2386_p001177,actually_true,no,,,,
