blinded_job_id,formula,n_sites,cif_path,cif_sha256,failure_policy,evidence_scope
DFTV2-0001,Cl8 Eu2,10,cifs/DFTV2-0001.cif,a3eba4d5340b76ba3791a0585c5ef3a10b13720772a4d34c5d3d5e76bd2b81ea,failed_or_missing_jobs_count_not_certified_stable_false_for_conservative_FTR,DFT_v2_blinded_recomputation_pilot_pre_outcome;frozen_WBM_queue_structures;no_DFT_outcomes;not_prospective_materials_discovery;not_t1_alpha_certificate
DFTV2-0002,Gd2 I2 In1,5,cifs/DFTV2-0002.cif,e16223c2d4d5a2b667147c56949450c57389168753e1167d07b65a9583393ce8,failed_or_missing_jobs_count_not_certified_stable_false_for_conservative_FTR,DFT_v2_blinded_recomputation_pilot_pre_outcome;frozen_WBM_queue_structures;no_DFT_outcomes;not_prospective_materials_discovery;not_t1_alpha_certificate
DFTV2-0003,Br6 Er1 K2,9,cifs/DFTV2-0003.cif,49290450ce03ebbd432c7e8f07da9c7fad4ab1251dee6cb376b4ad7b6ef615d1,failed_or_missing_jobs_count_not_certified_stable_false_for_conservative_FTR,DFT_v2_blinded_recomputation_pilot_pre_outcome;frozen_WBM_queue_structures;no_DFT_outcomes;not_prospective_materials_discovery;not_t1_alpha_certificate
DFTV2-0004,Gd2 I2 Se1,5,cifs/DFTV2-0004.cif,2eaf9a638d0f099d57ca3a4add179d6c7107ebcc0064d25efa67c1b1bf52b755,failed_or_missing_jobs_count_not_certified_stable_false_for_conservative_FTR,DFT_v2_blinded_recomputation_pilot_pre_outcome;frozen_WBM_queue_structures;no_DFT_outcomes;not_prospective_materials_discovery;not_t1_alpha_certificate
DFTV2-0005,Ac2 Pd6,8,cifs/DFTV2-0005.cif,9da0f565cd4e099675dbcd8fa576f6a7bb0c34c1d5fc7e0cd9b524a7cddeba16,failed_or_missing_jobs_count_not_certified_stable_false_for_conservative_FTR,DFT_v2_blinded_recomputation_pilot_pre_outcome;frozen_WBM_queue_structures;no_DFT_outcomes;not_prospective_materials_discovery;not_t1_alpha_certificate
DFTV2-0006,Br6 Yb2,8,cifs/DFTV2-0006.cif,1e081cdbf0d661127fd6146c77ea7bfe1ea7190afc798f86a025b12a31cf9039,failed_or_missing_jobs_count_not_certified_stable_false_for_conservative_FTR,DFT_v2_blinded_recomputation_pilot_pre_outcome;frozen_WBM_queue_structures;no_DFT_outcomes;not_prospective_materials_discovery;not_t1_alpha_certificate
DFTV2-0007,Cs1 Pa1 Se2,4,cifs/DFTV2-0007.cif,bc9ecd51374b6cea3e130c50cedb0f05466147764d1a0ef73e6426611218a6a7,failed_or_missing_jobs_count_not_certified_stable_false_for_conservative_FTR,DFT_v2_blinded_recomputation_pilot_pre_outcome;frozen_WBM_queue_structures;no_DFT_outcomes;not_prospective_materials_discovery;not_t1_alpha_certificate
DFTV2-0008,Gd2 I6,8,cifs/DFTV2-0008.cif,25f1bca05370448d844b9347d4fd0b94a38bdb8b01b9909d1512866c75424fa1,failed_or_missing_jobs_count_not_certified_stable_false_for_conservative_FTR,DFT_v2_blinded_recomputation_pilot_pre_outcome;frozen_WBM_queue_structures;no_DFT_outcomes;not_prospective_materials_discovery;not_t1_alpha_certificate
DFTV2-0009,Cd2 F6,8,cifs/DFTV2-0009.cif,1d92e3ab0c1087c6aeb2860b1f754bd9ddada844a1f60ce7581fedc4aaebbb04,failed_or_missing_jobs_count_not_certified_stable_false_for_conservative_FTR,DFT_v2_blinded_recomputation_pilot_pre_outcome;frozen_WBM_queue_structures;no_DFT_outcomes;not_prospective_materials_discovery;not_t1_alpha_certificate
DFTV2-0010,Pm4 Te6,10,cifs/DFTV2-0010.cif,f0e87925dcb6437ac06a56a69299cde194dbdf2ff96b46f04923fcb29de8d096,failed_or_missing_jobs_count_not_certified_stable_false_for_conservative_FTR,DFT_v2_blinded_recomputation_pilot_pre_outcome;frozen_WBM_queue_structures;no_DFT_outcomes;not_prospective_materials_discovery;not_t1_alpha_certificate
