dataset,generator,method,alpha1,seed,M,released,utr,conservative_ftr,self_consistency_margin,best_margin,best_margin_k,best_margin_tau,emax_effective,max_observed_e,empty_diagnostic,release_feasible
OVT-B,OWLv2,parc_track_gamma_tuned_uniform_scs,0.1,0,150,0,0.0,,,-9.104358936424056,150.0,10.0,52.069925759461306,52.069925759461306,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,OWLv2,parc_track_gamma_tuned_uniform_scs,0.1,1,150,0,0.0,,,-8.963101560969523,150.0,10.0,52.20697376439121,28.86850998351219,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,OWLv2,parc_track_gamma_tuned_uniform_scs,0.1,2,150,0,0.0,,,-9.126573508350724,150.0,10.0,52.29831090625768,52.29831090625768,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,OWLv2,parc_track_gamma_tuned_uniform_scs,0.2,0,150,0,0.0,,,-4.104358936424055,150.0,5.0,52.069925759461306,52.069925759461306,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,OWLv2,parc_track_gamma_tuned_uniform_scs,0.2,1,150,0,0.0,,,-3.9631015609695233,150.0,5.0,52.20697376439121,28.86850998351219,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,OWLv2,parc_track_gamma_tuned_uniform_scs,0.2,2,150,0,0.0,,,-4.126573508350724,150.0,5.0,52.29831090625768,52.29831090625768,insufficient_high_e_mass_for_uniform_scs,True
TAO,OWLv2,parc_track_gamma_tuned_uniform_scs,0.1,0,150,0,0.0,,,-9.191812083702104,150.0,10.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs,True
TAO,OWLv2,parc_track_gamma_tuned_uniform_scs,0.1,1,150,0,0.0,,,-8.867354713657855,150.0,10.0,37.73389353320295,37.73389353320295,insufficient_high_e_mass_for_uniform_scs,True
TAO,OWLv2,parc_track_gamma_tuned_uniform_scs,0.1,2,150,0,0.0,,,-8.820938539402361,150.0,10.0,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs,True
TAO,OWLv2,parc_track_gamma_tuned_uniform_scs,0.2,0,150,0,0.0,,,-4.1918120837021045,150.0,5.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs,True
TAO,OWLv2,parc_track_gamma_tuned_uniform_scs,0.2,1,150,0,0.0,,,-3.867354713657855,150.0,5.0,37.73389353320295,37.73389353320295,insufficient_high_e_mass_for_uniform_scs,True
TAO,OWLv2,parc_track_gamma_tuned_uniform_scs,0.2,2,150,0,0.0,,,-3.820938539402361,150.0,5.0,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,0,75,75,0.0533333333333333,,1.1441666102687087,1.1441666102687087,75.0,20.0,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,0,100,100,0.08,,1.1441666102687087,1.1441666102687087,100.0,20.0,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,0,125,0,0.0,,,-2.440739050108647,106.0,23.584905660377355,21.14416661026871,21.14416661026871,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,0,150,0,0.0,,,-7.157720182184118,106.0,28.301886792452827,21.14416661026871,21.14416661026871,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,0,175,0,0.0,,,-11.874701314259584,106.0,33.018867924528294,21.14416661026871,21.14416661026871,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,0,200,0,0.0,,,-13.28980690134544,200.0,20.0,21.14416661026871,21.14416661026871,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,0,250,0,0.0,,,-13.370128186486,249.0,20.08032128514056,21.14416661026871,21.14416661026871,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,1,75,0,0.0,,,-11.770018050828236,75.0,20.0,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,1,100,0,0.0,,,-13.511869010360382,100.0,20.0,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,1,125,0,0.0,,,-14.604769779873228,125.0,20.0,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,1,150,0,0.0,,,-14.604769779873228,150.0,20.0,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,1,175,0,0.0,,,-15.359597531630232,175.0,20.0,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,1,200,0,0.0,,,-15.359597531630232,200.0,20.0,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,1,250,0,0.0,,,-15.995107394890749,249.0,20.08032128514056,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,2,75,0,0.0,,,-13.386858517230095,69.0,21.73913043478261,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,2,100,0,0.0,,,-13.416515416346908,100.0,20.0,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,2,125,0,0.0,,,-15.29246163823697,125.0,20.0,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,2,150,0,0.0,,,-15.856038016393793,150.0,20.0,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,2,175,0,0.0,,,-16.289392091450956,175.0,20.0,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,2,200,0,0.0,,,-16.289392091450956,200.0,20.0,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.05,2,250,0,0.0,,,-17.148708294560997,250.0,20.0,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,0,75,75,0.0533333333333333,,11.144166610268709,11.144166610268709,75.0,10.0,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,0,100,100,0.08,,11.144166610268709,11.144166610268709,100.0,10.0,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,0,125,125,0.08,,1.911399618224016,9.351713780080033,106.0,11.792452830188678,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,0,150,126,0.0793650793650793,,0.006637713462112,6.993223214042295,106.0,14.150943396226412,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,0,175,106,0.0754716981132075,,4.634732648004562,4.634732648004562,106.0,16.509433962264147,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,0,200,106,0.0754716981132075,,2.2762420819668243,2.2762420819668243,106.0,18.867924528301884,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,0,250,0,0.0,,,-2.440739050108647,106.0,23.584905660377355,21.14416661026871,21.14416661026871,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,1,75,39,0.0256410256410256,,1.1774953683582048,1.1774953683582048,39.0,19.23076923076923,20.408264599127435,20.408264599127435,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,1,100,0,0.0,,,-3.511869010360382,100.0,10.0,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,1,125,0,0.0,,,-4.195629694121065,117.0,10.683760683760685,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,1,150,0,0.0,,,-4.604769779873226,150.0,10.0,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,1,175,0,0.0,,,-5.359597531630233,175.0,10.0,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,1,200,0,0.0,,,-5.359597531630233,200.0,10.0,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,1,250,0,0.0,,,-5.954946752320467,249.0,10.04016064257028,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,2,75,0,0.0,,,-2.5172932998387907,69.0,10.869565217391305,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,2,100,0,0.0,,,-3.4165154163469067,100.0,10.0,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,2,125,0,0.0,,,-5.29246163823697,125.0,10.0,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,2,150,0,0.0,,,-5.856038016393794,150.0,10.0,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,2,175,0,0.0,,,-6.2110676021926094,169.0,10.355029585798816,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,2,200,0,0.0,,,-6.2893920914509565,200.0,10.0,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.1,2,250,0,0.0,,,-7.148708294560995,250.0,10.0,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,0,75,75,0.0533333333333333,,16.14416661026871,16.14416661026871,75.0,5.0,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,0,100,100,0.08,,16.14416661026871,16.14416661026871,100.0,5.0,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,0,125,125,0.08,,6.911399618224015,15.247940195174367,106.0,5.896226415094339,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,0,150,150,0.0666666666666666,,3.5147890184143744,14.068694912155502,106.0,7.075471698113207,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,0,175,175,0.0628571428571428,,1.7101930986545586,12.889449629136635,106.0,8.254716981132074,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,0,200,200,0.055,,1.7101930986545586,11.710204346117768,106.0,9.433962264150942,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,0,250,250,0.056,,0.5782965021953492,9.351713780080033,106.0,11.792452830188678,21.14416661026871,21.14416661026871,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,1,75,75,0.0266666666666666,,3.229981949171764,10.79287998374282,39.0,9.615384615384617,20.408264599127435,20.408264599127435,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,1,100,100,0.05,,1.4881309896396182,7.587751778614615,39.0,12.82051282051282,20.408264599127435,20.408264599127435,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,1,125,125,0.064,,0.3952302201267743,4.382623573486409,39.0,16.025641025641026,20.408264599127435,20.408264599127435,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,1,150,150,0.06,,0.3952302201267743,1.1774953683582048,39.0,19.23076923076923,20.408264599127435,20.408264599127435,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,1,175,0,0.0,,,-0.1427444634175287,158.0,5.537974683544303,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,1,200,0,0.0,,,-0.3595975316302331,200.0,5.0,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,1,250,0,0.0,,,-0.934866431035327,249.0,5.02008032128514,20.408264599127435,20.408264599127435,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,2,75,75,0.0,,1.5834845836530933,2.9174893088568616,69.0,5.434782608695652,20.72417910987153,20.72417910987153,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,2,100,100,0.0,,1.5834845836530933,1.5834845836530933,100.0,5.0,20.72417910987153,20.72417910987153,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,2,125,100,0.0,,0.3334845836530933,0.3334845836530933,100.0,6.25,20.72417910987153,20.72417910987153,,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,2,150,0,0.0,,,-0.8560380163937937,150.0,5.0,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,2,175,0,0.0,,,-1.0335528092932016,169.0,5.177514792899408,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,2,200,0,0.0,,,-1.2893920914509565,200.0,5.0,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
OVT-B,GroundingDINO,parc_track_gamma_tuned_uniform_scs,0.2,2,250,0,0.0,,,-2.148708294560995,250.0,5.0,20.72417910987153,20.72417910987153,insufficient_high_e_mass_for_uniform_scs,True
