dataset,video_id,path_id,score,score_original_owlv2,score_rerank_v1,objectness,semantic_margin,temporal_stability,association_score,path_length,candidate_rank,score_source
OVT-B,1564,ovtb_v1564_p033662,0.9459043890237808,0.9515073150396348,0.9459043890237808,0.9515073150396348,0.9515073150396348,8,0.875,8,1,owlv2_rerank_v1
OVT-B,1883,ovtb_v1883_p039709,0.934696514904499,0.9328275248408318,0.934696514904499,0.9328275248408318,0.9328275248408318,8,0.875,8,2,owlv2_rerank_v1
OVT-B,1559,ovtb_v1559_p033526,0.9341119363904,0.9318532273173332,0.9341119363904,0.9318532273173332,0.9318532273173332,8,0.875,8,3,owlv2_rerank_v1
OVT-B,1192,ovtb_v1192_p027000,0.933569571375847,0.9309492856264114,0.933569571375847,0.9309492856264114,0.9309492856264114,8,0.875,8,4,owlv2_rerank_v1
OVT-B,969,ovtb_v969_p022235,0.9321764364838601,0.9286273941397668,0.9321764364838601,0.9286273941397668,0.9286273941397668,8,0.875,8,5,owlv2_rerank_v1
OVT-B,1867,ovtb_v1867_p039415,0.9299958184361459,0.9249930307269096,0.9299958184361459,0.9249930307269096,0.9249930307269096,8,0.875,8,6,owlv2_rerank_v1
OVT-B,717,ovtb_v717_p017044,0.9292707547545433,0.9237845912575722,0.9292707547545433,0.9237845912575722,0.9237845912575722,8,0.875,8,7,owlv2_rerank_v1
OVT-B,1162,ovtb_v1162_p026352,0.9289105564355851,0.923184260725975,0.9289105564355851,0.923184260725975,0.923184260725975,8,0.875,8,8,owlv2_rerank_v1
OVT-B,1392,ovtb_v1392_p030622,0.9256844848394394,0.917807474732399,0.9256844848394394,0.917807474732399,0.917807474732399,8,0.875,8,9,owlv2_rerank_v1
OVT-B,1704,ovtb_v1704_p036354,0.9227401837706566,0.9129003062844276,0.9227401837706566,0.9129003062844276,0.9129003062844276,8,0.875,8,10,owlv2_rerank_v1
OVT-B,233,ovtb_v233_p007137,0.9218034580349923,0.911339096724987,0.9218034580349923,0.911339096724987,0.911339096724987,8,0.875,8,11,owlv2_rerank_v1
OVT-B,787,ovtb_v787_p018383,0.9213988065719605,0.910664677619934,0.9213988065719605,0.910664677619934,0.910664677619934,8,0.875,8,12,owlv2_rerank_v1
OVT-B,1663,ovtb_v1663_p035527,0.9188889205455781,0.90648153424263,0.9188889205455781,0.90648153424263,0.90648153424263,8,0.875,8,13,owlv2_rerank_v1
OVT-B,1201,ovtb_v1201_p027135,0.9175630241632462,0.9042717069387436,0.9175630241632462,0.9042717069387436,0.9042717069387436,8,0.875,8,14,owlv2_rerank_v1
OVT-B,647,ovtb_v647_p015735,0.9170342892408372,0.9033904820680618,0.9170342892408372,0.9033904820680618,0.9033904820680618,8,0.875,8,15,owlv2_rerank_v1
OVT-B,181,ovtb_v181_p006264,0.9165505483746528,0.902584247291088,0.9165505483746528,0.902584247291088,0.902584247291088,8,0.875,8,16,owlv2_rerank_v1
OVT-B,840,ovtb_v840_p019574,0.9162483885884285,0.9020806476473808,0.9162483885884285,0.9020806476473808,0.9020806476473808,8,0.875,8,17,owlv2_rerank_v1
OVT-B,136,ovtb_v136_p005715,0.9161799430847168,0.9019665718078612,0.9161799430847168,0.9019665718078612,0.9019665718078612,8,0.875,8,18,owlv2_rerank_v1
OVT-B,1887,ovtb_v1887_p039771,0.9157885015010834,0.9013141691684724,0.9157885015010834,0.9013141691684724,0.9013141691684724,8,0.875,8,19,owlv2_rerank_v1
OVT-B,1417,ovtb_v1417_p031035,0.9156361922621727,0.9010603204369544,0.9156361922621727,0.9010603204369544,0.9010603204369544,8,0.875,8,20,owlv2_rerank_v1
OVT-B,81,ovtb_v81_p004678,0.9117991536855699,0.8946652561426163,0.9117991536855699,0.8946652561426163,0.8946652561426163,8,0.875,8,21,owlv2_rerank_v1
OVT-B,129,ovtb_v129_p005574,0.9109021827578545,0.8931703045964241,0.9109021827578545,0.8931703045964241,0.8931703045964241,8,0.875,8,22,owlv2_rerank_v1
OVT-B,220,ovtb_v220_p006847,0.9102222293615341,0.8920370489358902,0.9102222293615341,0.8920370489358902,0.8920370489358902,8,0.875,8,23,owlv2_rerank_v1
OVT-B,83,ovtb_v83_p004705,0.9100783914327621,0.8917973190546036,0.9100783914327621,0.8917973190546036,0.8917973190546036,8,0.875,8,24,owlv2_rerank_v1
OVT-B,487,ovtb_v487_p012578,0.9097281038761138,0.8912135064601898,0.9097281038761138,0.8912135064601898,0.8912135064601898,8,0.875,8,25,owlv2_rerank_v1
OVT-B,653,ovtb_v653_p015795,0.907378377020359,0.8872972950339317,0.907378377020359,0.8872972950339317,0.8872972950339317,8,0.875,8,26,owlv2_rerank_v1
OVT-B,729,ovtb_v729_p017176,0.907371385395527,0.8872856423258781,0.907371385395527,0.8872856423258781,0.8872856423258781,8,0.875,8,27,owlv2_rerank_v1
OVT-B,665,ovtb_v665_p016043,0.9066830009222031,0.8861383348703384,0.9066830009222031,0.8861383348703384,0.8861383348703384,8,0.875,8,28,owlv2_rerank_v1
OVT-B,130,ovtb_v130_p005575,0.9058401390910149,0.8847335651516914,0.9058401390910149,0.8847335651516914,0.8847335651516914,8,0.875,8,29,owlv2_rerank_v1
OVT-B,1263,ovtb_v1263_p028429,0.9039599150419235,0.8815998584032059,0.9039599150419235,0.8815998584032059,0.8815998584032059,8,0.875,8,30,owlv2_rerank_v1
OVT-B,897,ovtb_v897_p020834,0.9036944791674615,0.8811574652791023,0.9036944791674615,0.8811574652791023,0.8811574652791023,8,0.875,8,31,owlv2_rerank_v1
OVT-B,734,ovtb_v734_p017202,0.9007452607154847,0.8762421011924744,0.9007452607154847,0.8762421011924744,0.8762421011924744,8,0.875,8,32,owlv2_rerank_v1
OVT-B,1516,ovtb_v1516_p032608,0.9006507486104964,0.8760845810174942,0.9006507486104964,0.8760845810174942,0.8760845810174942,8,0.875,8,33,owlv2_rerank_v1
OVT-B,944,ovtb_v944_p021684,0.9005982264876367,0.8759970441460609,0.9005982264876367,0.8759970441460609,0.8759970441460609,8,0.875,8,34,owlv2_rerank_v1
OVT-B,1039,ovtb_v1039_p023741,0.8980158627033235,0.8716931045055389,0.8980158627033235,0.8716931045055389,0.8716931045055389,8,0.875,8,35,owlv2_rerank_v1
OVT-B,993,ovtb_v993_p022692,0.8976549357175827,0.8710915595293045,0.8976549357175827,0.8710915595293045,0.8710915595293045,8,0.875,8,36,owlv2_rerank_v1
OVT-B,517,ovtb_v517_p012891,0.8971324414014816,0.870220735669136,0.8971324414014816,0.870220735669136,0.870220735669136,8,0.875,8,37,owlv2_rerank_v1
OVT-B,941,ovtb_v941_p021660,0.896840263903141,0.8697337731719017,0.896840263903141,0.8697337731719017,0.8697337731719017,8,0.875,8,38,owlv2_rerank_v1
OVT-B,725,ovtb_v725_p017124,0.8960591286420823,0.868431881070137,0.8960591286420823,0.868431881070137,0.868431881070137,8,0.875,8,39,owlv2_rerank_v1
OVT-B,1691,ovtb_v1691_p036072,0.89497177451849,0.8666196241974831,0.89497177451849,0.8666196241974831,0.8666196241974831,8,0.875,8,40,owlv2_rerank_v1
OVT-B,954,ovtb_v954_p021888,0.8940986886620521,0.8651644811034203,0.8940986886620521,0.8651644811034203,0.8651644811034203,8,0.875,8,41,owlv2_rerank_v1
OVT-B,1682,ovtb_v1682_p035843,0.8937627643346786,0.8646046072244644,0.8937627643346786,0.8646046072244644,0.8646046072244644,8,0.875,8,42,owlv2_rerank_v1
OVT-B,394,ovtb_v394_p010646,0.8925553008913993,0.8625921681523323,0.8925553008913993,0.8625921681523323,0.8625921681523323,8,0.875,8,43,owlv2_rerank_v1
OVT-B,1376,ovtb_v1376_p030392,0.8919369354844093,0.8615615591406822,0.8919369354844093,0.8615615591406822,0.8615615591406822,8,0.875,8,44,owlv2_rerank_v1
OVT-B,1109,ovtb_v1109_p025267,0.8903499215841293,0.8589165359735489,0.8903499215841293,0.8589165359735489,0.8589165359735489,8,0.875,8,45,owlv2_rerank_v1
OVT-B,227,ovtb_v227_p006999,0.8892596036195755,0.8570993393659592,0.8892596036195755,0.8570993393659592,0.8570993393659592,8,0.875,8,46,owlv2_rerank_v1
OVT-B,732,ovtb_v732_p017188,0.8890082716941834,0.8566804528236389,0.8890082716941834,0.8566804528236389,0.8566804528236389,8,0.875,8,47,owlv2_rerank_v1
OVT-B,406,ovtb_v406_p010939,0.8874295502901077,0.8540492504835129,0.8874295502901077,0.8540492504835129,0.8540492504835129,8,0.875,8,48,owlv2_rerank_v1
OVT-B,1473,ovtb_v1473_p031972,0.8869390591979027,0.8532317653298378,0.8869390591979027,0.8532317653298378,0.8532317653298378,8,0.875,8,49,owlv2_rerank_v1
OVT-B,1282,ovtb_v1282_p028693,0.8869084954261781,0.8531808257102966,0.8869084954261781,0.8531808257102966,0.8531808257102966,8,0.875,8,50,owlv2_rerank_v1
OVT-B,709,ovtb_v709_p016944,0.8837863370776176,0.8479772284626961,0.8837863370776176,0.8479772284626961,0.8479772284626961,8,0.875,8,51,owlv2_rerank_v1
OVT-B,514,ovtb_v514_p012866,0.8834409266710281,0.8474015444517136,0.8834409266710281,0.8474015444517136,0.8474015444517136,8,0.875,8,52,owlv2_rerank_v1
OVT-B,716,ovtb_v716_p017039,0.8824390769004822,0.845731794834137,0.8824390769004822,0.845731794834137,0.845731794834137,8,0.875,8,53,owlv2_rerank_v1
OVT-B,1709,ovtb_v1709_p036376,0.8818632423877717,0.844772070646286,0.8818632423877717,0.844772070646286,0.844772070646286,8,0.875,8,54,owlv2_rerank_v1
OVT-B,1786,ovtb_v1786_p037822,0.8816528633236884,0.8444214388728142,0.8816528633236884,0.8444214388728142,0.8444214388728142,8,0.875,8,55,owlv2_rerank_v1
OVT-B,145,ovtb_v145_p005894,0.8804950162768364,0.8424916937947273,0.8804950162768364,0.8424916937947273,0.8424916937947273,8,0.875,8,56,owlv2_rerank_v1
OVT-B,1706,ovtb_v1706_p036365,0.8799503758549692,0.8415839597582817,0.8799503758549692,0.8415839597582817,0.8415839597582817,8,0.875,8,57,owlv2_rerank_v1
OVT-B,114,ovtb_v114_p005294,0.8787125274538994,0.8395208790898323,0.8787125274538994,0.8395208790898323,0.8395208790898323,8,0.875,8,58,owlv2_rerank_v1
OVT-B,1009,ovtb_v1009_p022932,0.8785585507750511,0.8392642512917519,0.8785585507750511,0.8392642512917519,0.8392642512917519,8,0.875,8,59,owlv2_rerank_v1
OVT-B,514,ovtb_v514_p012865,0.878359454870224,0.8389324247837067,0.878359454870224,0.8389324247837067,0.8389324247837067,8,0.875,8,60,owlv2_rerank_v1
OVT-B,308,ovtb_v308_p008821,0.8780727088451385,0.8384545147418976,0.8780727088451385,0.8384545147418976,0.8384545147418976,8,0.875,8,61,owlv2_rerank_v1
OVT-B,922,ovtb_v922_p021141,0.8773451149463654,0.8372418582439423,0.8773451149463654,0.8372418582439423,0.8372418582439423,8,0.875,8,62,owlv2_rerank_v1
OVT-B,907,ovtb_v907_p020925,0.8768753975629806,0.8364589959383011,0.8768753975629806,0.8364589959383011,0.8364589959383011,8,0.875,8,63,owlv2_rerank_v1
OVT-B,1152,ovtb_v1152_p026175,0.876458390057087,0.8357639834284782,0.876458390057087,0.8357639834284782,0.8357639834284782,8,0.875,8,64,owlv2_rerank_v1
OVT-B,500,ovtb_v500_p012708,0.8762070491909981,0.8353450819849968,0.8762070491909981,0.8353450819849968,0.8353450819849968,8,0.875,8,65,owlv2_rerank_v1
OVT-B,128,ovtb_v128_p005573,0.8753848940134048,0.8339748233556747,0.8753848940134048,0.8339748233556747,0.8339748233556747,8,0.875,8,66,owlv2_rerank_v1
OVT-B,746,ovtb_v746_p017363,0.8752147749066352,0.8336912915110588,0.8752147749066352,0.8336912915110588,0.8336912915110588,8,0.875,8,67,owlv2_rerank_v1
OVT-B,364,ovtb_v364_p010015,0.8749848693609237,0.8333081156015396,0.8749848693609237,0.8333081156015396,0.8333081156015396,8,0.875,8,68,owlv2_rerank_v1
OVT-B,1113,ovtb_v1113_p025316,0.8742610484361648,0.8321017473936081,0.8742610484361648,0.8321017473936081,0.8321017473936081,8,0.875,8,69,owlv2_rerank_v1
OVT-B,1745,ovtb_v1745_p037031,0.8736693397164346,0.8311155661940575,0.8736693397164346,0.8311155661940575,0.8311155661940575,8,0.875,8,70,owlv2_rerank_v1
OVT-B,631,ovtb_v631_p015424,0.8735752299427986,0.830958716571331,0.8735752299427986,0.830958716571331,0.830958716571331,8,0.875,8,71,owlv2_rerank_v1
OVT-B,1366,ovtb_v1366_p030104,0.8732869908213616,0.8304783180356026,0.8732869908213616,0.8304783180356026,0.8304783180356026,8,0.875,8,72,owlv2_rerank_v1
