dataset,video_id,path_id,score,score_original_owlv2,score_rerank_v1,objectness,semantic_margin,temporal_stability,association_score,path_length,candidate_rank,score_source
TAO,4018,ovtb_v4018_p037469,0.9521166622638704,0.9618611037731172,0.9521166622638704,0.9618611037731172,0.9618611037731172,8,0.875,8,1,owlv2_rerank_v1
TAO,4782,ovtb_v4782_p045299,0.9284252107143403,0.922375351190567,0.9284252107143403,0.922375351190567,0.922375351190567,8,0.875,8,2,owlv2_rerank_v1
TAO,4836,ovtb_v4836_p045980,0.9217693001031877,0.911282166838646,0.9217693001031877,0.911282166838646,0.911282166838646,8,0.875,8,3,owlv2_rerank_v1
TAO,4726,ovtb_v4726_p044521,0.8961311370134355,0.8685518950223923,0.8961311370134355,0.8685518950223923,0.8685518950223923,8,0.875,8,4,owlv2_rerank_v1
TAO,4994,ovtb_v4994_p048529,0.8812688961625099,0.8437814936041832,0.8812688961625099,0.8437814936041832,0.8437814936041832,8,0.875,8,5,owlv2_rerank_v1
TAO,4860,ovtb_v4860_p046427,0.8797243237495422,0.8412072062492371,0.8797243237495422,0.8412072062492371,0.8412072062492371,8,0.875,8,6,owlv2_rerank_v1
TAO,5408,ovtb_v5408_p051903,0.8683199729238238,0.8698190024920872,0.8683199729238238,0.8698190024920872,0.8698190024920872,7,0.8571428571428571,7,7,owlv2_rerank_v1
TAO,4996,ovtb_v4996_p048572,0.8631065368652344,0.8135108947753906,0.8631065368652344,0.8135108947753906,0.8135108947753906,8,0.875,8,8,owlv2_rerank_v1
TAO,4944,ovtb_v4944_p047805,0.8588212922215461,0.8063688203692436,0.8588212922215461,0.8063688203692436,0.8063688203692436,8,0.875,8,9,owlv2_rerank_v1
TAO,4882,ovtb_v4882_p046956,0.8587863408029079,0.8063105680048466,0.8587863408029079,0.8063105680048466,0.8063105680048466,8,0.875,8,10,owlv2_rerank_v1
TAO,4726,ovtb_v4726_p044522,0.8458706881318774,0.8324035278388432,0.8458706881318774,0.8324035278388432,0.8324035278388432,7,0.8571428571428571,7,11,owlv2_rerank_v1
TAO,4501,ovtb_v4501_p042398,0.8451134392193385,0.8311414463179452,0.8451134392193385,0.8311414463179452,0.8311414463179452,7,0.8571428571428571,7,12,owlv2_rerank_v1
TAO,2017,ovtb_v2017_p013821,0.8402144327759742,0.7753573879599571,0.8402144327759742,0.7753573879599571,0.7753573879599571,8,0.875,8,13,owlv2_rerank_v1
TAO,4842,ovtb_v4842_p046120,0.8277726620435715,0.7546211034059525,0.8277726620435715,0.7546211034059525,0.7546211034059525,8,0.875,8,14,owlv2_rerank_v1
TAO,1659,ovtb_v1659_p011369,0.8267868947982787,0.9029781579971312,0.8267868947982787,0.9029781579971312,0.9029781579971312,5,0.8,5,15,owlv2_rerank_v1
TAO,4552,ovtb_v4552_p042889,0.8257048577070236,0.7511747628450394,0.8257048577070236,0.7511747628450394,0.7511747628450394,8,0.875,8,16,owlv2_rerank_v1
TAO,5454,ovtb_v5454_p052533,0.8239930406212808,0.7483217343688011,0.8239930406212808,0.7483217343688011,0.7483217343688011,8,0.875,8,17,owlv2_rerank_v1
TAO,5487,ovtb_v5487_p052826,0.8238363236188888,0.7480605393648148,0.8238363236188888,0.7480605393648148,0.7480605393648148,8,0.875,8,18,owlv2_rerank_v1
