dataset,generator,candidate_rows,videos,M,matched_rate,unmatched_rate,score_min,score_mean,score_max,path_length_mean
OVT-B,OWLv2,43155,1970,25,0.2,0.8,0.8932895660400391,0.9131345480680466,0.9515073150396348,6.88
OVT-B,OWLv2,43155,1970,50,0.28,0.72,0.8670845031738281,0.8962748939692975,0.9515073150396348,6.68
OVT-B,OWLv2,43155,1970,75,0.28,0.72,0.845731794834137,0.883169697980086,0.9515073150396348,6.546666666666667
OVT-B,OWLv2,43155,1970,100,0.22,0.78,0.8339748233556747,0.8722297234932581,0.9515073150396348,6.32
OVT-B,OWLv2,43155,1970,125,0.216,0.784,0.8194969892501831,0.8633167259187926,0.9515073150396348,6.264
OVT-B,OWLv2,43155,1970,150,0.22666666666666666,0.7733333333333333,0.8024735450744629,0.8546153084725616,0.9515073150396348,6.026666666666666
OVT-B,OWLv2,43155,1970,200,0.22,0.78,0.7858653167883555,0.8393758431878828,0.9515073150396348,5.93
OVT-B,OWLv2,43155,1970,250,0.216,0.784,0.7676193490624428,0.8269833661261768,0.9515073150396348,5.772
OVT-B,OWLv2,43155,1970,500,0.176,0.824,0.7100546807050705,0.7806289508523686,0.9515073150396348,5.272
OVT-B,OWLv2,43155,1970,1000,0.155,0.845,0.6478508114814758,0.7277159042519915,0.9515073150396348,4.904
OVT-B,OWLv2,43155,1970,5000,0.1036,0.8964,0.4536007940769195,0.5779137895438234,0.9515073150396348,4.4082
TAO,OWLv2,59360,1342,25,0.24,0.76,0.870848536491394,0.9011198095877966,0.9618611037731172,2.64
TAO,OWLv2,59360,1342,50,0.12,0.88,0.8364384174346924,0.8774558443952175,0.9618611037731172,2.84
TAO,OWLv2,59360,1342,75,0.09333333333333334,0.9066666666666666,0.8165044188499451,0.8601209507660261,0.9618611037731172,2.52
TAO,OWLv2,59360,1342,100,0.08,0.92,0.8035880923271179,0.8472365849745416,0.9618611037731172,2.58
TAO,OWLv2,59360,1342,125,0.072,0.928,0.7893234193325043,0.8371588016376609,0.9618611037731172,2.384
TAO,OWLv2,59360,1342,150,0.06666666666666667,0.9333333333333333,0.7787832021713257,0.8281866712227228,0.9618611037731172,2.2733333333333334
TAO,OWLv2,59360,1342,200,0.06,0.94,0.758575975894928,0.8131426320347402,0.9618611037731172,2.165
TAO,OWLv2,59360,1342,250,0.056,0.944,0.7422723174095154,0.8005620472106905,0.9618611037731172,2.156
TAO,OWLv2,59360,1342,500,0.044,0.956,0.6929429322481155,0.7578464723026114,0.9618611037731172,2.076
TAO,OWLv2,59360,1342,1000,0.04,0.96,0.6258805394172668,0.7065397374799918,0.9618611037731172,2.047
TAO,OWLv2,59360,1342,5000,0.036,0.964,0.3873549699783325,0.5258363885671558,0.9618611037731172,2.1028
OVT-B,GroundingDINO,16813,1965,25,1.0,0.0,0.9073417683442434,0.9165582403540611,0.9511613079479764,6.84
OVT-B,GroundingDINO,16813,1965,50,1.0,0.0,0.9003778174519539,0.9098153614997864,0.9511613079479764,6.7
OVT-B,GroundingDINO,16813,1965,75,0.9866666666666667,0.013333333333333334,0.8948891535401344,0.9057834614051713,0.9511613079479764,6.64
OVT-B,GroundingDINO,16813,1965,100,0.99,0.01,0.8899297639727592,0.9023465045342843,0.9511613079479764,6.66
OVT-B,GroundingDINO,16813,1965,125,0.992,0.008,0.8851572200655937,0.899302209403969,0.9511613079479764,6.792
OVT-B,GroundingDINO,16813,1965,150,0.9933333333333333,0.006666666666666667,0.8814925029873848,0.8966709514184604,0.9511613079479764,6.833333333333333
OVT-B,GroundingDINO,16813,1965,200,0.99,0.01,0.8727350011467934,0.8917931499498941,0.9511613079479764,6.64
OVT-B,GroundingDINO,16813,1965,250,0.984,0.016,0.8663057908415794,0.8873557645613239,0.9511613079479764,6.568
OVT-B,GroundingDINO,16813,1965,500,0.98,0.02,0.8375320956110954,0.8693563114147811,0.9511613079479764,6.476
OVT-B,GroundingDINO,16813,1965,1000,0.974,0.026,0.7899366617202759,0.8409058707354324,0.9511613079479764,6.064
OVT-B,GroundingDINO,16813,1965,5000,0.9088,0.0912,0.5557860434055328,0.6944712355486694,0.9511613079479764,5.0964
TAO,GroundingDINO,13342,1417,25,0.96,0.04,0.9188376367092131,0.9324043185568991,0.957849197089672,2.96
TAO,GroundingDINO,13342,1417,50,0.96,0.04,0.9021729230880736,0.9207224060623418,0.957849197089672,2.58
TAO,GroundingDINO,13342,1417,75,0.96,0.04,0.8905846476554871,0.9126626601039415,0.957849197089672,2.506666666666667
TAO,GroundingDINO,13342,1417,100,0.96,0.04,0.884758859872818,0.9065293704732542,0.957849197089672,2.46
TAO,GroundingDINO,13342,1417,125,0.952,0.048,0.87684765458107,0.9014103939147222,0.957849197089672,2.416
TAO,GroundingDINO,13342,1417,150,0.96,0.04,0.8718473613262177,0.896930131343622,0.957849197089672,2.54
TAO,GroundingDINO,13342,1417,200,0.965,0.035,0.8580347895622253,0.8890498152627121,0.957849197089672,2.54
TAO,GroundingDINO,13342,1417,250,0.964,0.036,0.8472936078906059,0.8818937326297873,0.957849197089672,2.624
TAO,GroundingDINO,13342,1417,500,0.946,0.054,0.8017304837703705,0.8529653328376158,0.957849197089672,2.684
TAO,GroundingDINO,13342,1417,1000,0.918,0.082,0.732895016670227,0.8092082596476234,0.957849197089672,2.678
TAO,GroundingDINO,13342,1417,5000,0.783,0.217,0.4839660190045833,0.6292556662133478,0.957849197089672,2.742
