dataset,alpha1,seed,candidate_budget_M,released,utr,conservative_ftr_uncertain_and_unlabeled_false,self_consistency_margin,best_margin,best_margin_k,best_margin_tau,max_observed_e,emax_effective,empty_diagnostic
OVT-B,0.1,0,10,5,1.0,1.0,0.3610654803730568,2.069925759461306,2.0,50.0,52.069925759461306,52.069925759461306,
OVT-B,0.1,1,10,0,0.0,,,-0.7034569922424083,6.0,16.666666666666664,28.86850998351219,52.20697376439121,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,2,10,9,0.6666666666666666,0.6666666666666666,2.102325228153598,12.251484738037732,6.0,16.666666666666664,52.29831090625768,52.29831090625768,
OVT-B,0.2,0,25,23,0.9565217391304348,0.9565217391304348,0.3798298038882839,0.6089097662630838,17.0,7.352941176470588,52.069925759461306,52.069925759461306,
OVT-B,0.2,1,10,10,0.9,0.9,2.981667998753144,7.629876341090924,6.0,8.333333333333332,28.86850998351219,52.20697376439121,
OVT-B,0.2,2,10,10,0.7,0.7,4.910764033044446,20.584818071371064,6.0,8.333333333333332,52.29831090625768,52.29831090625768,
TAO,0.1,0,10,0,0.0,,,-4.114959589523832,10.0,10.0,37.781761838652166,37.781761838652166,insufficient_high_e_mass_for_uniform_scs
TAO,0.1,1,10,10,0.6,0.6,4.892998337989157,8.489111789710329,8.0,12.5,37.73389353320295,37.73389353320295,
TAO,0.1,2,10,0,0.0,,,-2.624964429247388,7.0,14.285714285714285,37.6860161962012,37.6860161962012,insufficient_high_e_mass_for_uniform_scs
TAO,0.2,0,10,10,0.9,0.9,0.8850404104761678,2.53490966317864,7.0,7.142857142857142,37.781761838652166,37.781761838652166,
TAO,0.2,1,25,14,0.6428571428571429,0.6428571428571429,0.7374849621838688,5.3641117897103285,8.0,15.625,37.73389353320295,37.73389353320295,
TAO,0.2,2,10,10,0.7,0.7,0.3702668394027508,12.686016196201194,2.0,25.0,37.6860161962012,37.6860161962012,
