proposal_source,K,alpha,mean_release,true_candidates_PARC_mean,cost_per_true_candidate_PARC,true_candidates_raw_mean,cost_per_true_candidate_raw,efficiency_lift,evidence_status,source_table,source_sha256
alignn_ff_modern_learned_materials_model,100,0.1,100.0,91.45,1.0934937124111537,91.45,1.0934937124111537,0.0,completed_public_DFT_label_followup,outputs/milestones/fixed_budget_scientific_utility_trial/table_cost_per_true_candidate.csv,875c0343a835c90b285f9a2a907a1e14fadacf996f62610cc1c0ea6ca8d6795c
alignn_ff_modern_learned_materials_model,300,0.1,115.1,103.4,1.1131528046421664,224.05,1.3389868332961392,0.1661641718174807,completed_public_DFT_label_followup,outputs/milestones/fixed_budget_scientific_utility_trial/table_cost_per_true_candidate.csv,875c0343a835c90b285f9a2a907a1e14fadacf996f62610cc1c0ea6ca8d6795c
alignn_ff_modern_learned_materials_model,500,0.1,90.75,85.6,1.0601635514018692,336.55,1.4856633486851878,0.2786792331738987,completed_public_DFT_label_followup,outputs/milestones/fixed_budget_scientific_utility_trial/table_cost_per_true_candidate.csv,875c0343a835c90b285f9a2a907a1e14fadacf996f62610cc1c0ea6ca8d6795c
alignn_ff_modern_learned_materials_model,1000,0.1,60.8,60.3,1.0082918739635158,609.0,1.6420361247947457,0.135027506552238,completed_public_DFT_label_followup,outputs/milestones/fixed_budget_scientific_utility_trial/table_cost_per_true_candidate.csv,875c0343a835c90b285f9a2a907a1e14fadacf996f62610cc1c0ea6ca8d6795c
alignn_ff_modern_learned_materials_model,5000,0.1,0.0,0.0,,2422.6,2.0638982910922152,-0.48452,completed_public_DFT_label_followup,outputs/milestones/fixed_budget_scientific_utility_trial/table_cost_per_true_candidate.csv,875c0343a835c90b285f9a2a907a1e14fadacf996f62610cc1c0ea6ca8d6795c
alignn_ff_modern_learned_materials_model,100,0.2,100.0,91.45,1.0934937124111537,91.45,1.0934937124111537,0.0,completed_public_DFT_label_followup,outputs/milestones/fixed_budget_scientific_utility_trial/table_cost_per_true_candidate.csv,875c0343a835c90b285f9a2a907a1e14fadacf996f62610cc1c0ea6ca8d6795c
alignn_ff_modern_learned_materials_model,300,0.2,275.75,208.05,1.3254025474645517,224.05,1.3389868332961392,0.0211506352087115,completed_public_DFT_label_followup,outputs/milestones/fixed_budget_scientific_utility_trial/table_cost_per_true_candidate.csv,875c0343a835c90b285f9a2a907a1e14fadacf996f62610cc1c0ea6ca8d6795c
alignn_ff_modern_learned_materials_model,500,0.2,158.7,131.25,1.209142857142857,336.55,1.4856633486851878,0.1959188442667705,completed_public_DFT_label_followup,outputs/milestones/fixed_budget_scientific_utility_trial/table_cost_per_true_candidate.csv,875c0343a835c90b285f9a2a907a1e14fadacf996f62610cc1c0ea6ca8d6795c
alignn_ff_modern_learned_materials_model,1000,0.2,90.75,85.6,1.0601635514018692,609.0,1.6420361247947457,0.3427792331738987,completed_public_DFT_label_followup,outputs/milestones/fixed_budget_scientific_utility_trial/table_cost_per_true_candidate.csv,875c0343a835c90b285f9a2a907a1e14fadacf996f62610cc1c0ea6ca8d6795c
alignn_ff_modern_learned_materials_model,5000,0.2,0.0,0.0,,2422.6,2.0638982910922152,-0.48452,completed_public_DFT_label_followup,outputs/milestones/fixed_budget_scientific_utility_trial/table_cost_per_true_candidate.csv,875c0343a835c90b285f9a2a907a1e14fadacf996f62610cc1c0ea6ca8d6795c
