Dataset,Generator,Alpha,Non-empty seeds,Seeds,Released,Rel./M,Supported,Supp./M,UTR,Audited FTR,Conservative FTR,Margin,Matrix CSV
OVT-B,GroundingDINO,0.05,2,3,99.33333333333333,0.6622222222222223,97.0,0.6466666666666666,0.015675675675675668,0.0,0.008978978978978933,0.6318067045963698,<PARC_ROOT>/outputs/phase3_ovtb_full/ovtb_alpha_seed_m_matrix.csv
OVT-B,GroundingDINO,0.1,3,3,135.0,0.9,132.0,0.88,0.021904761904761868,0.0,0.012063492063492033,5.480572478786656,<PARC_ROOT>/outputs/phase3_ovtb_full/ovtb_alpha_seed_m_matrix.csv
OVT-B,GroundingDINO,0.2,3,3,150.0,1.0,147.0,0.98,0.019999999999999966,0.0,0.011111111111111066,10.12947452118192,<PARC_ROOT>/outputs/phase3_ovtb_full/ovtb_alpha_seed_m_matrix.csv
OVT-B,OWLv2,0.1,0,3,0.0,0.0,0.0,0.0,0.0,,0.0,,<PARC_ROOT>/outputs/phase3_ovtb_owlv2/ovtb_alpha_seed_m_matrix.csv
OVT-B,OWLv2,0.2,0,3,0.0,0.0,0.0,0.0,0.0,,0.0,,<PARC_ROOT>/outputs/phase3_ovtb_owlv2/ovtb_alpha_seed_m_matrix.csv
TAO,GroundingDINO,0.05,0,3,0.0,0.0,0.0,0.0,0.0,,0.0,,<PARC_ROOT>/outputs/phase3_tao_full/ovtb_alpha_seed_m_matrix.csv
TAO,GroundingDINO,0.1,0,3,0.0,0.0,0.0,0.0,0.0,,0.0,,<PARC_ROOT>/outputs/phase3_tao_full/ovtb_alpha_seed_m_matrix.csv
TAO,GroundingDINO,0.2,3,3,147.33333333333334,0.9822222222222222,143.66666666666666,0.9577777777777777,0.024569640062597764,0.06666666666666667,0.017777777777777733,0.5994989182711778,<PARC_ROOT>/outputs/phase3_tao_full/ovtb_alpha_seed_m_matrix.csv
TAO,OWLv2,0.1,0,3,0.0,0.0,0.0,0.0,0.0,,0.0,,<PARC_ROOT>/outputs/phase3_tao_owlv2/ovtb_alpha_seed_m_matrix.csv
TAO,OWLv2,0.2,0,3,0.0,0.0,0.0,0.0,0.0,,0.0,,<PARC_ROOT>/outputs/phase3_tao_owlv2/ovtb_alpha_seed_m_matrix.csv
