alpha,seed,K,released,official_proxy_FTR,partial_UTR_seen_by_PARC,raw_topK_official_proxy_FTR,n_cal_blocks,n_nonempty_null_cal_blocks,p_min_effective,gamma,emax_effective,required_emax,max_observed_e,best_mass_ratio,tau_k,self_consistency_margin,empty_reason,observed_positive_source,paper_status,source_name
0.1,0,25,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,0,50,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,0,100,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,0,25,25,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,0,50,50,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,0,100,100,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,1,25,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,1,50,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,1,100,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,1,25,25,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,1,50,50,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,1,100,100,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,2,25,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,2,50,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,2,100,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,2,25,25,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,2,50,50,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,2,100,100,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,3,25,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,3,50,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,3,100,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,3,25,25,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,3,50,50,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,3,100,100,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,4,25,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,4,50,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,4,100,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,4,25,25,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,4,50,50,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,4,100,100,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,5,25,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,5,50,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.1,5,100,0,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,10.0,6.455912967197628,0.6455912967197628,,,resolution_below_required_emax,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,5,25,25,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,5,50,50,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
0.2,5,100,100,0.0,0.0,0.0,75,75,0.013157894736842105,0.23090777506376875,6.455912967197628,5.0,6.455912967197628,1.2911825934395256,5.0,1.4559129671976283,,official_proxy_from_calibration_audit_for_planning_only,not_a_human_audited_flagship_until_human_fields_are_confirmed,GroundingDINO-SwinT animal-present fallback
