audit_id,sample_set,dataset,location_id,video_id,original_video_id,_temporal_chunk,path_id,query,score,objectness,candidate_rank,frame_start,frame_end,support_semantics,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status
iwild-cal-000001,calibration_audit,iWildCam2022,3,300,3,0,iwildcam_l3_img202_d001_animal,animal,0.9393069744110109,0.9393069744110109,66,1,1,image_level_animal_presence_support,animal,yes,human review confirmed animal-present detection,0.88,human_confirmed
iwild-cal-000002,calibration_audit,iWildCam2022,3,301,3,1,iwildcam_l3_img278_d001_animal,animal,0.9374790191650392,0.9374790191650392,94,77,77,image_level_animal_presence_support,animal,yes,human review confirmed animal-present detection,0.88,human_confirmed
iwild-cal-000003,calibration_audit,iWildCam2022,3,302,3,2,iwildcam_l3_img306_d001_animal,animal,0.9428577423095704,0.9428577423095704,29,105,105,image_level_animal_presence_support,animal,yes,human review confirmed animal-present detection,0.88,human_confirmed
iwild-cal-000004,calibration_audit,iWildCam2022,3,303,3,3,iwildcam_l3_img324_d001_animal,animal,0.9430386424064636,0.9430386424064636,27,123,123,image_level_animal_presence_support,animal,yes,human review confirmed animal-present detection,0.88,human_confirmed
iwild-cal-000005,calibration_audit,iWildCam2022,3,304,3,4,iwildcam_l3_img381_d001_animal,animal,0.9424986839294434,0.9424986839294434,33,180,180,image_level_animal_presence_support,animal,yes,human review confirmed animal-present detection,0.88,human_confirmed
iwild-cal-000006,calibration_audit,iWildCam2022,23,2300,23,0,iwildcam_l23_img2007_d001_animal,animal,0.3634904623031616,0.3634904623031616,5886,6,6,image_level_animal_presence_support,not_animal,no,human review confirmed not-animal detection,0.72,human_confirmed
iwild-cal-000007,calibration_audit,iWildCam2022,23,2301,23,1,iwildcam_l23_img2055_d001_animal,animal,0.3936953246593475,0.3936953246593475,5257,54,54,image_level_animal_presence_support,not_animal,no,human review confirmed not-animal detection,0.72,human_confirmed
iwild-cal-000008,calibration_audit,iWildCam2022,23,2302,23,2,iwildcam_l23_img2111_d001_animal,animal,0.4050629138946533,0.4050629138946533,5092,110,110,image_level_animal_presence_support,not_animal,no,human review confirmed not-animal detection,0.72,human_confirmed
iwild-cal-000009,calibration_audit,iWildCam2022,23,2303,23,3,iwildcam_l23_img2149_d001_animal,animal,0.9207770824432372,0.9207770824432372,562,148,148,image_level_animal_presence_support,animal,yes,human review confirmed animal-present detection,0.88,human_confirmed
iwild-cal-000010,calibration_audit,iWildCam2022,23,2304,23,4,iwildcam_l23_img2192_d001_animal,animal,0.4217796623706817,0.4217796623706817,4840,191,191,image_level_animal_presence_support,animal,yes,human review confirmed animal-present detection,0.8,human_confirmed
iwild-cal-000011,calibration_audit,iWildCam2022,57,5700,57,0,iwildcam_l57_img3222_d001_animal,animal,0.9402663707733154,0.9402663707733154,53,21,21,image_level_animal_presence_support,animal,yes,human review confirmed animal-present detection,0.88,human_confirmed
iwild-cal-000012,calibration_audit,iWildCam2022,57,5701,57,1,iwildcam_l57_img3251_d001_animal,animal,0.9412175416946412,0.9412175416946412,40,50,50,image_level_animal_presence_support,animal,yes,human review confirmed animal-present detection,0.88,human_confirmed
