video_id,location_id,temporal_chunk,candidates,official_supported,max_score,calibration_audit_candidates
300,3,0,90,87,0.9393069744110109,14
301,3,1,101,99,0.9374790191650392,14
302,3,2,98,92,0.9428577423095704,14
303,3,3,100,97,0.9430386424064636,14
304,3,4,101,97,0.9424986839294434,14
2300,23,0,107,0,0.7128486633300781,14
2301,23,1,112,0,0.6658259630203247,14
2302,23,2,119,0,0.5119540691375732,14
2303,23,3,97,1,0.9207770824432372,14
2304,23,4,111,0,0.5953439474105835,14
5700,57,0,77,70,0.9402663707733154,14
5701,57,1,62,62,0.9412175416946412,14
5702,57,2,66,66,0.949607789516449,14
5703,57,3,69,69,0.9382188320159912,14
5704,57,4,68,68,0.9341310262680054,14
9000,90,0,164,1,0.9441124200820924,14
9001,90,1,162,1,0.9264674782752992,14
9002,90,2,170,0,0.6083329916000366,14
9003,90,3,156,2,0.9350851774215698,14
9004,90,4,172,0,0.7025893330574036,14
10500,105,0,78,78,0.9386211037635804,14
10501,105,1,73,73,0.936129093170166,14
10502,105,2,74,74,0.9419036507606506,14
10503,105,3,88,88,0.9413167238235474,14
10504,105,4,72,72,0.937855064868927,14
11900,119,0,107,93,0.943760633468628,14
11901,119,1,86,86,0.9359837174415588,14
11902,119,2,90,81,0.938932716846466,14
11903,119,3,96,87,0.9357700943946838,14
11904,119,4,99,81,0.9381378293037416,14
16500,165,0,292,4,0.9146063923835754,14
16501,165,1,206,0,0.7552846074104309,14
16502,165,2,296,0,0.8073396682739258,14
16503,165,3,198,2,0.7535887360572815,14
16504,165,4,229,0,0.7472726106643677,14
17600,176,0,77,75,0.9422962069511414,14
17601,176,1,87,87,0.9425472021102904,14
17602,176,2,82,82,0.9411558508872986,14
17603,176,3,80,80,0.943602442741394,14
17604,176,4,87,87,0.9429720640182496,14
17700,177,0,80,80,0.9399285912513732,14
17701,177,1,96,87,0.9307862520217896,14
17702,177,2,88,88,0.9356511831283568,14
17703,177,3,89,89,0.9387919902801514,14
17704,177,4,96,94,0.9388983249664308,14
21000,210,0,77,77,0.932639479637146,14
21001,210,1,103,101,0.9363762140274048,14
21002,210,2,99,99,0.933140993118286,14
21003,210,3,96,93,0.9392412900924684,14
21004,210,4,104,102,0.933463990688324,14
21200,212,0,84,82,0.9311374425888062,13
21201,212,1,110,108,0.9307832717895508,13
21202,212,2,91,91,0.939426600933075,13
21203,212,3,93,93,0.937131941318512,13
21204,212,4,99,99,0.936654269695282,13
21800,218,0,78,62,0.9336304664611816,13
21801,218,1,84,79,0.9411312937736512,13
21802,218,2,82,81,0.9303054809570312,13
21803,218,3,89,81,0.9367316365242004,13
21804,218,4,83,82,0.9387057423591614,13
25600,256,0,149,1,0.9317836761474608,13
25601,256,1,134,0,0.6137354373931885,13
25602,256,2,156,0,0.6200191974639893,13
25603,256,3,145,0,0.6499512195587158,13
25604,256,4,124,0,0.7656849026679993,13
26600,266,0,124,0,0.4691083133220672,13
26601,266,1,118,0,0.5227457880973816,13
26602,266,2,126,0,0.5167555212974548,13
26603,266,3,151,0,0.5806623101234436,13
26604,266,4,129,0,0.5115148425102234,13
33600,336,0,129,1,0.9201565384864808,13
33601,336,1,127,0,0.5616315603256226,13
33602,336,2,129,0,0.5469121336936951,13
33603,336,3,124,0,0.4990367293357849,13
33604,336,4,110,0,0.5159946084022522,13
33700,337,0,136,0,0.4837420582771301,13
33701,337,1,134,0,0.5163533687591553,13
33702,337,2,141,1,0.850521981716156,13
33703,337,3,120,0,0.5385661721229553,13
33704,337,4,135,1,0.8670527338981628,13
34500,345,0,156,0,0.6364941000938416,13
34501,345,1,166,0,0.5064241290092468,13
34502,345,2,176,0,0.5006083250045776,13
34503,345,3,158,0,0.597421407699585,13
34504,345,4,188,0,0.5646981596946716,13
39200,392,0,74,74,0.9469857215881348,13
39201,392,1,78,78,0.9353022575378418,13
39202,392,2,83,83,0.940891683101654,13
39203,392,3,68,60,0.9309208393096924,13
39204,392,4,70,67,0.9305482506752014,13
40800,408,0,83,83,0.934416651725769,13
40801,408,1,81,81,0.9410094618797302,13
40802,408,2,76,73,0.9359264969825744,13
40803,408,3,69,69,0.932353973388672,13
40804,408,4,62,58,0.938780963420868,13
44900,449,0,71,71,0.9462645649909972,13
44901,449,1,71,71,0.9441157579421996,13
44902,449,2,66,66,0.9369977116584778,13
44903,449,3,66,66,0.942049503326416,13
44904,449,4,62,62,0.94345623254776,13
45600,456,0,121,121,0.93083918094635,13
45601,456,1,132,132,0.9386749863624572,13
45602,456,2,93,91,0.9199011325836182,13
45603,456,3,115,115,0.930709958076477,13
45604,456,4,108,108,0.9373685717582704,13
46400,464,0,130,0,0.4584633111953735,13
46401,464,1,140,0,0.5752478241920471,13
46402,464,2,134,0,0.5175684094429016,13
46403,464,3,148,0,0.5085515975952148,13
46404,464,4,143,0,0.4083479046821594,13
47000,470,0,70,70,0.9402031302452089,13
47001,470,1,63,63,0.9440371990203856,13
47002,470,2,69,69,0.944972813129425,13
47003,470,3,61,61,0.93936949968338,13
47004,470,4,67,61,0.9473538398742676,13
49700,497,0,281,281,0.9331326484680176,13
49701,497,1,234,234,0.9339882731437684,13
49702,497,2,220,220,0.930151104927063,13
49703,497,3,207,207,0.8874179124832153,13
49704,497,4,219,219,0.9312064051628112,13
50100,501,0,236,236,0.8789796233177185,13
50101,501,1,286,284,0.9107161164283752,13
50102,501,2,262,262,0.9090760946273804,13
50103,501,3,251,249,0.91828453540802,13
50104,501,4,297,294,0.8576247692108154,13
51200,512,0,95,90,0.9473800659179688,13
51201,512,1,94,86,0.9331791996955872,13
51202,512,2,85,85,0.9241024255752563,13
51203,512,3,82,76,0.9299636483192444,13
51204,512,4,106,99,0.9241586923599244,13
51900,519,0,71,66,0.9475942850112916,13
51901,519,1,74,74,0.944360613822937,13
51902,519,2,64,62,0.944400191307068,13
51903,519,3,58,58,0.9449665546417236,13
51904,519,4,60,59,0.942653477191925,13
52200,522,0,85,40,0.917513072490692,13
52201,522,1,86,32,0.9189334511756896,13
52202,522,2,89,7,0.8748993277549744,13
52203,522,3,70,18,0.9325708150863647,13
52204,522,4,76,32,0.927552044391632,13
52600,526,0,78,78,0.945755898952484,13
52601,526,1,82,76,0.9481900334358216,13
52602,526,2,67,65,0.9361282587051392,13
52603,526,3,79,75,0.944365918636322,13
52604,526,4,66,66,0.9425179958343506,13
52900,529,0,83,80,0.9302874803543092,13
52901,529,1,84,84,0.934650719165802,13
52902,529,2,88,88,0.9431976079940796,13
52903,529,3,102,102,0.9315404295921326,13
52904,529,4,73,70,0.9374094605445862,13
