audit_id,sample_set,dataset,location_id,video_id,original_video_id,_temporal_chunk,path_id,query,score,objectness,candidate_rank,frame_start,frame_end,support_semantics,second_review_stratum,second_reviewer_label,second_reviewer_verified_positive_for_calibration,second_reviewer_reason,second_reviewer_confidence,second_reviewer_status
iwild-rel-000001,release_audit,iWildCam2022,57,5702,57,2,iwildcam_l57_img3309_d001_animal,animal,0.949607789516449,0.949607789516449,1,108,108,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000002,release_audit,iWildCam2022,526,52601,526,1,iwildcam_l526_img4848_d001_animal,animal,0.9481900334358216,0.9481900334358216,2,47,47,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000003,release_audit,iWildCam2022,519,51900,519,0,iwildcam_l519_img2437_d001_animal,animal,0.9475942850112916,0.9475942850112916,3,36,36,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000004,release_audit,iWildCam2022,512,51200,512,0,iwildcam_l512_img3627_d001_animal,animal,0.9473800659179688,0.9473800659179688,4,26,26,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000005,release_audit,iWildCam2022,470,47004,470,4,iwildcam_l470_img994_d001_animal,animal,0.9473538398742676,0.9473538398742676,5,193,193,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000006,release_audit,iWildCam2022,392,39200,392,0,iwildcam_l392_img3002_d001_animal,animal,0.9469857215881348,0.9469857215881348,6,1,1,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000007,release_audit,iWildCam2022,449,44900,449,0,iwildcam_l449_img4025_d001_animal,animal,0.9462645649909972,0.9462645649909972,7,24,24,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000008,release_audit,iWildCam2022,526,52600,526,0,iwildcam_l526_img4805_d001_animal,animal,0.945755898952484,0.945755898952484,8,4,4,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000009,release_audit,iWildCam2022,526,52600,526,0,iwildcam_l526_img4820_d001_animal,animal,0.9456652998924256,0.9456652998924256,9,19,19,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000010,release_audit,iWildCam2022,526,52601,526,1,iwildcam_l526_img4866_d001_animal,animal,0.9451914429664612,0.9451914429664612,10,65,65,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000011,release_audit,iWildCam2022,470,47002,470,2,iwildcam_l470_img890_d001_animal,animal,0.944972813129425,0.944972813129425,11,89,89,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000012,release_audit,iWildCam2022,519,51903,519,3,iwildcam_l519_img2540_d001_animal,animal,0.9449665546417236,0.9449665546417236,12,139,139,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000013,release_audit,iWildCam2022,519,51902,519,2,iwildcam_l519_img2520_d001_animal,animal,0.944400191307068,0.944400191307068,13,119,119,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000014,release_audit,iWildCam2022,526,52603,526,3,iwildcam_l526_img4942_d001_animal,animal,0.944365918636322,0.944365918636322,14,141,141,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000015,release_audit,iWildCam2022,519,51901,519,1,iwildcam_l519_img2470_d001_animal,animal,0.944360613822937,0.944360613822937,15,69,69,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000016,release_audit,iWildCam2022,526,52600,526,0,iwildcam_l526_img4829_d001_animal,animal,0.94429749250412,0.94429749250412,16,28,28,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000017,release_audit,iWildCam2022,449,44901,449,1,iwildcam_l449_img4052_d001_animal,animal,0.9441157579421996,0.9441157579421996,17,51,51,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000018,release_audit,iWildCam2022,90,9000,90,0,iwildcam_l90_img1409_d001_animal,animal,0.9441124200820924,0.9441124200820924,18,8,8,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000019,release_audit,iWildCam2022,470,47001,470,1,iwildcam_l470_img860_d001_animal,animal,0.9440371990203856,0.9440371990203856,19,59,59,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000020,release_audit,iWildCam2022,119,11900,119,0,iwildcam_l119_img5631_d001_animal,animal,0.943760633468628,0.943760633468628,20,30,30,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000021,release_audit,iWildCam2022,470,47002,470,2,iwildcam_l470_img905_d001_animal,animal,0.9436473846435548,0.9436473846435548,21,104,104,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000022,release_audit,iWildCam2022,176,17603,176,3,iwildcam_l176_img5545_d001_animal,animal,0.943602442741394,0.943602442741394,22,144,144,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000023,release_audit,iWildCam2022,449,44904,449,4,iwildcam_l449_img4167_d001_animal,animal,0.94345623254776,0.94345623254776,23,166,166,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000024,release_audit,iWildCam2022,526,52601,526,1,iwildcam_l526_img4865_d001_animal,animal,0.9432213306427002,0.9432213306427002,24,64,64,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000025,release_audit,iWildCam2022,529,52902,529,2,iwildcam_l529_img5307_d001_animal,animal,0.9431976079940796,0.9431976079940796,25,106,106,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000026,release_audit,iWildCam2022,526,52603,526,3,iwildcam_l526_img4940_d001_animal,animal,0.943178415298462,0.943178415298462,26,139,139,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000027,release_audit,iWildCam2022,3,303,3,3,iwildcam_l3_img324_d001_animal,animal,0.9430386424064636,0.9430386424064636,27,123,123,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000028,release_audit,iWildCam2022,176,17604,176,4,iwildcam_l176_img5562_d001_animal,animal,0.9429720640182496,0.9429720640182496,28,161,161,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000029,release_audit,iWildCam2022,3,302,3,2,iwildcam_l3_img306_d001_animal,animal,0.9428577423095704,0.9428577423095704,29,105,105,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000030,release_audit,iWildCam2022,519,51904,519,4,iwildcam_l519_img2564_d001_animal,animal,0.942653477191925,0.942653477191925,30,163,163,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000031,release_audit,iWildCam2022,176,17601,176,1,iwildcam_l176_img5441_d001_animal,animal,0.9425472021102904,0.9425472021102904,31,40,40,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000032,release_audit,iWildCam2022,526,52604,526,4,iwildcam_l526_img4979_d001_animal,animal,0.9425179958343506,0.9425179958343506,32,178,178,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000033,release_audit,iWildCam2022,3,304,3,4,iwildcam_l3_img381_d001_animal,animal,0.9424986839294434,0.9424986839294434,33,180,180,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000034,release_audit,iWildCam2022,519,51903,519,3,iwildcam_l519_img2521_d001_animal,animal,0.9423089027404784,0.9423089027404784,34,120,120,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000035,release_audit,iWildCam2022,176,17600,176,0,iwildcam_l176_img5427_d001_animal,animal,0.9422962069511414,0.9422962069511414,35,26,26,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000036,release_audit,iWildCam2022,449,44903,449,3,iwildcam_l449_img4156_d001_animal,animal,0.942049503326416,0.942049503326416,36,155,155,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000037,release_audit,iWildCam2022,105,10502,105,2,iwildcam_l105_img5915_d001_animal,animal,0.9419036507606506,0.9419036507606506,37,114,114,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000038,release_audit,iWildCam2022,105,10503,105,3,iwildcam_l105_img5947_d001_animal,animal,0.9413167238235474,0.9413167238235474,38,146,146,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000039,release_audit,iWildCam2022,105,10502,105,2,iwildcam_l105_img5907_d001_animal,animal,0.9413025975227356,0.9413025975227356,39,106,106,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000040,release_audit,iWildCam2022,57,5701,57,1,iwildcam_l57_img3251_d001_animal,animal,0.9412175416946412,0.9412175416946412,40,50,50,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000041,release_audit,iWildCam2022,176,17602,176,2,iwildcam_l176_img5489_d001_animal,animal,0.9411558508872986,0.9411558508872986,41,88,88,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000042,release_audit,iWildCam2022,218,21801,218,1,iwildcam_l218_img2250_d001_animal,animal,0.9411312937736512,0.9411312937736512,42,49,49,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000043,release_audit,iWildCam2022,176,17600,176,0,iwildcam_l176_img5425_d001_animal,animal,0.9411221146583556,0.9411221146583556,43,24,24,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000044,release_audit,iWildCam2022,408,40801,408,1,iwildcam_l408_img3441_d001_animal,animal,0.9410094618797302,0.9410094618797302,44,40,40,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000045,release_audit,iWildCam2022,526,52601,526,1,iwildcam_l526_img4844_d001_animal,animal,0.9409452676773072,0.9409452676773072,45,43,43,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000046,release_audit,iWildCam2022,176,17603,176,3,iwildcam_l176_img5550_d001_animal,animal,0.9409309029579164,0.9409309029579164,46,149,149,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000047,release_audit,iWildCam2022,176,17600,176,0,iwildcam_l176_img5416_d001_animal,animal,0.9409221410751344,0.9409221410751344,47,15,15,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000048,release_audit,iWildCam2022,392,39202,392,2,iwildcam_l392_img3120_d001_animal,animal,0.940891683101654,0.940891683101654,48,119,119,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000049,release_audit,iWildCam2022,526,52603,526,3,iwildcam_l526_img4943_d001_animal,animal,0.9407414197921752,0.9407414197921752,49,142,142,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000050,release_audit,iWildCam2022,519,51901,519,1,iwildcam_l519_img2455_d001_animal,animal,0.9407342076301576,0.9407342076301576,50,54,54,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000051,release_audit,iWildCam2022,3,304,3,4,iwildcam_l3_img371_d001_animal,animal,0.9406979084014891,0.9406979084014891,51,170,170,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000052,release_audit,iWildCam2022,449,44903,449,3,iwildcam_l449_img4121_d001_animal,animal,0.9405092597007751,0.9405092597007751,52,120,120,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000053,release_audit,iWildCam2022,57,5700,57,0,iwildcam_l57_img3222_d001_animal,animal,0.9402663707733154,0.9402663707733154,53,21,21,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000054,release_audit,iWildCam2022,470,47000,470,0,iwildcam_l470_img829_d001_animal,animal,0.9402031302452089,0.9402031302452089,54,28,28,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000055,release_audit,iWildCam2022,105,10503,105,3,iwildcam_l105_img5927_d001_animal,animal,0.9401288628578186,0.9401288628578186,55,126,126,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000056,release_audit,iWildCam2022,57,5702,57,2,iwildcam_l57_img3317_d001_animal,animal,0.9401169419288636,0.9401169419288636,56,116,116,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000057,release_audit,iWildCam2022,177,17700,177,0,iwildcam_l177_img1813_d001_animal,animal,0.9399285912513732,0.9399285912513732,57,12,12,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000058,release_audit,iWildCam2022,519,51901,519,1,iwildcam_l519_img2479_d001_animal,animal,0.939770519733429,0.939770519733429,58,78,78,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000059,release_audit,iWildCam2022,177,17700,177,0,iwildcam_l177_img1818_d001_animal,animal,0.9396931529045104,0.9396931529045104,59,17,17,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
iwild-rel-000060,release_audit,iWildCam2022,470,47000,470,0,iwildcam_l470_img825_d001_animal,animal,0.939673900604248,0.939673900604248,60,24,24,image_level_animal_presence_support,all_release_candidates,animal,yes,human confirmed second review label,0.88,human_confirmed
