boundary_sample_id,dataset,video_id,path_id,pending_montage_path,second_reviewer_label,second_reviewer_verified_positive_for_calibration,second_reviewer_reason,second_reviewer_confidence,review_status
boundary_0000,TAO,369,ovtb_v369_p000296,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v369_p000296.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0001,OVT-B,206,ovtb_v206_p003543,,actually_false,no,ai_prefill_from_existing_audit_for_human_review:wrong_category,high,ai_prefill_pending_human_confirmation
boundary_0002,OVT-B,42,ovtb_v42_p002546,,actually_true,no,ai_prefill_from_existing_audit_for_human_review:real_object_uncertain_recheck,medium,ai_prefill_pending_human_confirmation
boundary_0003,BURST,118,ovtb_v118_p000152,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v118_p000152.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0004,BURST,343,ovtb_v343_p000622,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v343_p000622.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0005,OVT-B,13,ovtb_v13_p000623,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v13_p000623.jpg,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,ai_prefill_pending_human_confirmation
boundary_0006,TAO,1192,ovtb_v1192_p000533,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1192_p000533.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0007,BURST,308,ovtb_v308_p000674,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v308_p000674.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0008,OVT-B,30,ovtb_v30_p001638,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v30_p001638.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0009,BURST,270,ovtb_v270_p000412,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v270_p000412.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0010,BURST,31,ovtb_v31_p000036,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v31_p000036.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0011,OVT-B,5,ovtb_v5_p000264,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v5_p000264.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0012,OVT-B,83,ovtb_v83_p002871,,actually_true,no,ai_prefill_from_existing_audit_for_human_review:real_object_uncertain_recheck,medium,ai_prefill_pending_human_confirmation
boundary_0013,OVT-B,29,ovtb_v29_p001556,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v29_p001556.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0014,BURST,271,ovtb_v271_p000446,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v271_p000446.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0015,OVT-B,36,ovtb_v36_p002209,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v36_p002209.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0016,TAO,1330,ovtb_v1330_p000569,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1330_p000569.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0017,TAO,1330,ovtb_v1330_p000563,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1330_p000563.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0018,OVT-B,40,ovtb_v40_p002411,,actually_true,yes,ai_prefill_from_existing_audit_for_human_review:real_object_uncertain_recheck,high,ai_prefill_pending_human_confirmation
boundary_0019,OVT-B,36,ovtb_v36_p002220,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v36_p002220.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0020,OVT-B,38,ovtb_v38_p002313,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v38_p002313.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0021,BURST,344,ovtb_v344_p000616,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v344_p000616.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0022,BURST,120,ovtb_v120_p000288,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v120_p000288.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0023,OVT-B,39,ovtb_v39_p002344,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v39_p002344.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0024,TAO,5280,ovtb_v5280_p003719,,actually_true,yes,ai_prefill_from_existing_audit_for_human_review:partial_official_track_overlap_or_temporal_mismatch,high,ai_prefill_pending_human_confirmation
boundary_0025,TAO,1632,ovtb_v1632_p000669,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1632_p000669.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0026,BURST,272,ovtb_v272_p000412,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v272_p000412.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0027,OVT-B,873,ovtb_v873_p008400,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v873_p008400.jpg,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,ai_prefill_pending_human_confirmation
boundary_0028,BURST,359,ovtb_v359_p000613,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v359_p000613.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0029,OVT-B,206,ovtb_v206_p003537,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v206_p003537.jpg,uncertain,no,ai_prefill_from_existing_audit_for_human_review:second_pass_tiny_or_hard_category_short_path,medium,ai_prefill_pending_human_confirmation
boundary_0030,TAO,1826,ovtb_v1826_p000760,,actually_true,no,ai_prefill_from_existing_audit_for_human_review:released_unsupported_small_motor_scooter_confirmed_true,medium,ai_prefill_pending_human_confirmation
boundary_0031,TAO,5319,ovtb_v5319_p003801,,actually_true,no,ai_prefill_from_existing_audit_for_human_review:small_or_fine_grained_object_confirmed_by_user_recheck,medium,ai_prefill_pending_human_confirmation
boundary_0032,TAO,221,ovtb_v221_p000197,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v221_p000197.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0033,OVT-B,29,ovtb_v29_p001557,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v29_p001557.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0034,OVT-B,240,ovtb_v240_p003840,,actually_true,no,ai_prefill_from_existing_audit_for_human_review:real_object_uncertain_recheck,medium,ai_prefill_pending_human_confirmation
boundary_0035,TAO,1453,ovtb_v1453_p000601,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1453_p000601.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0036,OVT-B,40,ovtb_v40_p002429,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v40_p002429.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0037,BURST,272,ovtb_v272_p000444,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v272_p000444.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0038,BURST,39,ovtb_v39_p000055,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v39_p000055.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:second_pass_concrete_named_entity_with_montage_needs_user_review,medium,ai_prefill_pending_human_confirmation
boundary_0039,OVT-B,148,ovtb_v148_p003268,,actually_true,yes,ai_prefill_from_existing_audit_for_human_review:real_object_uncertain_recheck,high,ai_prefill_pending_human_confirmation
boundary_0040,BURST,230,ovtb_v230_p000345,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v230_p000345.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0041,OVT-B,39,ovtb_v39_p002332,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v39_p002332.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0042,OVT-B,5,ovtb_v5_p000265,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v5_p000265.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0043,OVT-B,36,ovtb_v36_p002214,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v36_p002214.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0044,TAO,114,ovtb_v114_p000095,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v114_p000095.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0045,BURST,31,ovtb_v31_p000030,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v31_p000030.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0046,TAO,5668,ovtb_v5668_p004122,,actually_true,yes,ai_prefill_from_existing_audit_for_human_review:partial_official_track_overlap_or_temporal_mismatch,high,ai_prefill_pending_human_confirmation
boundary_0047,OVT-B,6,ovtb_v6_p000300,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v6_p000300.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:second_pass_concrete_named_entity_with_montage_needs_user_review,medium,ai_prefill_pending_human_confirmation
boundary_0048,OVT-B,33,ovtb_v33_p001869,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v33_p001869.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0049,TAO,40,ovtb_v40_p000049,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v40_p000049.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0050,BURST,84,ovtb_v84_p000137,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v84_p000137.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0051,TAO,134,ovtb_v134_p000076,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v134_p000076.jpg,actually_true,no,ai_prefill_from_existing_audit_for_human_review:metadata_prior_real_object_candidate,medium,ai_prefill_pending_human_confirmation
boundary_0052,OVT-B,173,ovtb_v173_p003385,,actually_false,no,ai_prefill_from_existing_audit_for_human_review:wrong_category,high,ai_prefill_pending_human_confirmation
