dataset,stratification_dimension,stratum,candidate_count,official_unmatched_rate,human_valid_rate,PARC_certified_release_rate,audited_count,attribute_available,result_status
OVT-B,object_size,large,3115,0.19550561797752808,0.9005847953216374,,171,True,computed
OVT-B,object_size,medium,3115,0.24173354735152489,0.9455445544554455,,202,True,computed
OVT-B,object_size,small,3116,0.36553273427471117,0.9480122324159022,,327,True,computed
OVT-B,occlusion,attribute_unavailable,9346,0.26760111277551896,0.9357142857142857,,700,False,attribute_unavailable
OVT-B,motion_speed,fast,3115,0.13386837881219904,0.9421487603305785,,121,True,computed
OVT-B,motion_speed,medium,3115,0.27897271268057783,0.9108910891089109,,202,True,computed
OVT-B,motion_speed,slow,3116,0.3899229781771502,0.946949602122016,,377,True,computed
OVT-B,track_length,long,3115,0.16789727126805779,0.9269662921348315,,178,True,computed
OVT-B,track_length,medium,3115,0.2449438202247191,0.9172413793103448,,145,True,computed
OVT-B,track_length,short,3116,0.3899229781771502,0.946949602122016,,377,True,computed
OVT-B,category_frequency,head,3115,0.24943820224719102,0.9608695652173913,,230,True,computed
OVT-B,category_frequency,mid,3115,0.2590690208667737,0.9399141630901288,,233,True,computed
OVT-B,category_frequency,tail,3116,0.2942875481386393,0.9071729957805907,,237,True,computed
TAO,object_size,large,4447,0.24735776928266248,0.9470198675496688,,151,True,computed
TAO,object_size,medium,4447,0.4252304924668316,0.9769230769230769,,260,True,computed
TAO,object_size,small,4448,0.5820593525179856,0.9965397923875432,,289,True,computed
TAO,occlusion,attribute_unavailable,13342,0.4182281517013941,0.9785714285714285,,700,False,attribute_unavailable
TAO,motion_speed,fast,4447,0.21744996626939508,0.9230769230769231,,130,True,computed
TAO,motion_speed,medium,4447,0.6107488194288284,0.9786324786324786,,234,True,computed
TAO,motion_speed,slow,4448,0.4264838129496403,1.0,,336,True,computed
TAO,track_length,long,4447,0.2783899257926692,0.9310344827586207,,145,True,computed
TAO,track_length,medium,4447,0.5498088599055543,0.9771689497716894,,219,True,computed
TAO,track_length,short,4448,0.4264838129496403,1.0,,336,True,computed
TAO,category_frequency,head,4447,0.3977962671463908,1.0,,170,True,computed
TAO,category_frequency,mid,4447,0.40656622442095797,0.950381679389313,,262,True,computed
TAO,category_frequency,tail,4448,0.45031474820143885,0.9925373134328358,,268,True,computed
