dataset,generator,alpha1,candidate_budget_M,evaluated_seeds,predicted_nonempty_seeds,actual_nonempty_seeds,correct_seed_predictions,seed_prediction_accuracy,mean_best_mass_ratio,min_best_mass_ratio,max_best_mass_ratio,mean_best_margin,all_seed_predictions_correct
OVT-B,GroundingDINO,0.1,150,3,3,3,3,1.0,2.0008933667781554,1.0642654355923875,2.895862159947613,11.999982379241722,True
OVT-B,GroundingDINO,0.2,150,3,3,3,3,1.0,4.001786733556311,2.128530871184775,5.791724319895226,19.25775166786369,True
TAO,GroundingDINO,0.1,150,3,0,0,3,1.0,0.8495096192931962,0.8093592416999075,0.9285384167460573,-3.387481332706059,True
TAO,GroundingDINO,0.2,150,3,3,3,3,1.0,1.6990192385863925,1.618718483399815,1.8570768334921146,13.543513698143988,True
OVT-B,OWLv2,0.1,150,3,0,0,3,1.0,0.10729905353323295,0.1025347110778336,0.11567260561881762,-9.064678001914768,True
OVT-B,OWLv2,0.2,150,3,0,0,3,1.0,0.2145981070664659,0.2050694221556672,0.23134521123763524,-4.064678001914768,True
TAO,OWLv2,0.1,150,3,0,0,3,1.0,0.10747959038932094,0.0838466810881992,0.11944810337585036,-8.960035112254106,True
TAO,OWLv2,0.2,150,3,0,0,3,1.0,0.21495918077864187,0.1676933621763984,0.23889620675170073,-3.9600351122541064,True
OVT-B,OWL-ViT v1,0.1,150,3,0,0,3,1.0,0.1738935531546549,0.11745956053770051,0.2100866322437731,-8.707428420918761,True
OVT-B,OWL-ViT v1,0.2,150,3,0,0,3,1.0,0.3477871063093098,0.23491912107540103,0.4201732644875462,-3.707428420918762,True
TAO,OWL-ViT v1,0.1,150,3,0,0,3,1.0,0.0444582508806936,0.039367182968016,0.05031972350573266,-9.573852135693473,True
TAO,OWL-ViT v1,0.2,150,3,0,0,3,1.0,0.0889165017613872,0.078734365936032,0.10063944701146532,-4.573852135693474,True
