panel,domain,proposal_source,K,raw_false_count,PARC_false_count,prevented_false_count,evidence_status
materials_followup_queue,materials_discovery,alignn_ff_modern_learned_materials_model,100,8.55,8.55,0.0,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,alignn_ff_modern_learned_materials_model,300,75.95,11.7,64.25,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,alignn_ff_modern_learned_materials_model,500,163.45,5.15,158.3,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,alignn_ff_modern_learned_materials_model,1000,391.0,0.5,390.5,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,alignn_ff_modern_learned_materials_model,5000,2577.4,0.0,2577.4,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,alignn_ff_modern_learned_materials_model,100,8.55,8.55,0.0,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,alignn_ff_modern_learned_materials_model,300,75.95,67.7,8.25,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,alignn_ff_modern_learned_materials_model,500,163.45,27.45,136.0,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,alignn_ff_modern_learned_materials_model,1000,391.0,5.15,385.85,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,alignn_ff_modern_learned_materials_model,5000,2577.4,0.0,2577.4,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,cgcnn_ensemble_learned_materials_model,100,3.0,3.0,0.0,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,cgcnn_ensemble_learned_materials_model,300,70.5,17.95,52.55,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,cgcnn_ensemble_learned_materials_model,500,162.95,4.7,158.25,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,cgcnn_ensemble_learned_materials_model,1000,409.6,1.65,407.95,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,cgcnn_ensemble_learned_materials_model,5000,2032.55,0.0,2032.55,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,cgcnn_ensemble_learned_materials_model,100,3.0,3.0,0.0,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,cgcnn_ensemble_learned_materials_model,300,70.5,65.85,4.65,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,cgcnn_ensemble_learned_materials_model,500,162.95,32.7,130.25,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,cgcnn_ensemble_learned_materials_model,1000,409.6,4.7,404.9,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,cgcnn_ensemble_learned_materials_model,5000,2032.55,0.0,2032.55,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,megnet_weak_learned_materials_model,100,4.65,4.65,0.0,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,megnet_weak_learned_materials_model,300,55.2,24.5,30.7,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,megnet_weak_learned_materials_model,500,110.45,5.05,105.4,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,megnet_weak_learned_materials_model,1000,291.6,0.9,290.7,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,megnet_weak_learned_materials_model,5000,2683.45,0.0,2683.45,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,megnet_weak_learned_materials_model,100,4.65,4.65,0.0,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,megnet_weak_learned_materials_model,300,55.2,55.2,0.0,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,megnet_weak_learned_materials_model,500,110.45,84.0,26.45,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,megnet_weak_learned_materials_model,1000,291.6,5.05,286.55,completed_public_DFT_label_followup
materials_followup_queue,materials_discovery,megnet_weak_learned_materials_model,5000,2683.45,0.0,2683.45,completed_public_DFT_label_followup
ctc_lineage_graph,biomedical_cell_tracking,ctc_learned_hybrid,100,0.0,0.0,0.0,completed_official_GT_lineage_consequence
ctc_lineage_graph,biomedical_cell_tracking,ctc_learned_hybrid,300,0.0,0.0,0.0,completed_official_GT_lineage_consequence
ctc_lineage_graph,biomedical_cell_tracking,ctc_learned_hybrid,5000,0.0,0.0,0.0,completed_official_GT_lineage_consequence
ctc_lineage_graph,biomedical_cell_tracking,ctc_noisy_geometric_linker,100,0.0,0.0,0.0,completed_official_GT_lineage_consequence
ctc_lineage_graph,biomedical_cell_tracking,ctc_noisy_geometric_linker,300,0.0,0.0,0.0,completed_official_GT_lineage_consequence
ctc_lineage_graph,biomedical_cell_tracking,ctc_noisy_geometric_linker,5000,2907.5,0.0,2907.5,completed_official_GT_lineage_consequence
ctc_lineage_graph,biomedical_cell_tracking,ctc_random_score_negative_control,100,80.55,0.0,80.55,completed_official_GT_lineage_consequence
ctc_lineage_graph,biomedical_cell_tracking,ctc_random_score_negative_control,300,237.0,0.0,237.0,completed_official_GT_lineage_consequence
ctc_lineage_graph,biomedical_cell_tracking,ctc_random_score_negative_control,5000,3997.05,0.0,3997.05,completed_official_GT_lineage_consequence
spacenet_persistence_map,earth_observation,geometry_linker,100,0.0,,,completed_official_GT_map_consequence
spacenet_persistence_map,earth_observation,geometry_linker,300,1.0,,,completed_official_GT_map_consequence
spacenet_persistence_map,earth_observation,geometry_linker,500,1.0,,,completed_official_GT_map_consequence
spacenet_persistence_map,earth_observation,geometry_linker,1000,2.0,,,completed_official_GT_map_consequence
spacenet_persistence_map,earth_observation,geometry_linker,5000,9.0,,,completed_official_GT_map_consequence
spacenet_persistence_map,earth_observation,randomized_linker,100,65.0,,,completed_official_GT_map_consequence
spacenet_persistence_map,earth_observation,randomized_linker,300,201.0,,,completed_official_GT_map_consequence
spacenet_persistence_map,earth_observation,randomized_linker,500,340.0,,,completed_official_GT_map_consequence
spacenet_persistence_map,earth_observation,randomized_linker,1000,681.0,,,completed_official_GT_map_consequence
spacenet_persistence_map,earth_observation,randomized_linker,5000,3381.0,,,completed_official_GT_map_consequence
